context,target,generated_response,bleu-2,rouge-l
"User: I got a job offer today, I'm very proud of myself!
Assistant: That sounds wonderful - is it the sort of job you were really looking for?
User: Sort of. It's an opportunity to work for one of my favorite professors over the summer. I'm still going to work on that suicide hotline job as well

Assistant: Don't over extend yourself though. Make sure to give yourself plenty of you time. 
User: That's a good point. I struggle with that.

Assistant: ","Maybe set aside a few hours each week where you do something just for you, even if someone else claims that they need you.", I'd recommend trying to get some sort of counselling too. ,0,0.0
"User: Sort of. It's an opportunity to work for one of my favorite professors over the summer. I'm still going to work on that suicide hotline job as well

Assistant: Don't over extend yourself though. Make sure to give yourself plenty of you time. 
User: That's a good point. I struggle with that.

Assistant: Maybe set aside a few hours each week where you do something just for you, even if someone else claims that they need you. 
User: I will try that! Okay, thank you so much for your advice. I'm going to log off now. This has been very helpful.
Assistant: ","Wait till we hit the fifteen minute mark :D. And you're most welcome, have a lovely day!", You're welcome. I hope you get to do some of the things you've been wanting to do. ,0.0192,0.0606
Assistant: ,"Hello, what can I help you with this evening?"," Hello, how are you feeling today?",0.0495,0.2667
"Assistant: Hello, what can I help you with this evening?  
User: I am feeling very depressed lately.
User: Like a constant pressure that i don't know exactly what it is
Assistant: ","Depression is extremely rough to deal with, I'm very sorry to hear you're going through that.", I understand that feeling.  It's so hard to feel depressed.  Do you have anyone you can talk to about it?,0.0229,0.1212
"Assistant: Hello, what can I help you with this evening?  
User: I am feeling very depressed lately.
User: Like a constant pressure that i don't know exactly what it is
Assistant: Depression is extremely rough to deal with, I'm very sorry to hear you're going through that.  
User: I think the days getting shorter makes it worse.
Assistant: ","Oh yes, less light during the day makes the days seem compacted and suffocating", That is definitely a contributing factor.  But that doesn't mean you're not worthy of love and care.  ,0.0192,0.0645
"User: Like a constant pressure that i don't know exactly what it is
Assistant: Depression is extremely rough to deal with, I'm very sorry to hear you're going through that.  
User: I think the days getting shorter makes it worse.
Assistant: Oh yes, less light during the day makes the days seem compacted and suffocating
User: Do you have any tips on how to overcome it?
Assistant: ",I believe there are special lamps that you could get to help.  I personally have been trying to get up a little earlier in the morning and enjoy my coffee with the sunrise and a scroll through Instagram," I think one of the things that helped me the most when I was depressed was to go out and do physical activity.  It was a long time before I felt like myself again, but going out and walking, running, or doing yoga really helped me to get back on track and feel better.",0.062,0.16
"Assistant: Depression is extremely rough to deal with, I'm very sorry to hear you're going through that.  
User: I think the days getting shorter makes it worse.
Assistant: Oh yes, less light during the day makes the days seem compacted and suffocating
User: Do you have any tips on how to overcome it?
Assistant: I believe there are special lamps that you could get to help.  I personally have been trying to get up a little earlier in the morning and enjoy my coffee with the sunrise and a scroll through Instagram
Assistant: ","I also already have to schedule and routinize my day because I work and go to school from home, so I make sure to give myself breaks where I literally must get up and leave my desk, be in another room for a little while."," I also try to do things that make me feel better.  I love going for walks, taking a shower, and taking deep breaths. ",0.0483,0.2034
"Assistant: I believe there are special lamps that you could get to help.  I personally have been trying to get up a little earlier in the morning and enjoy my coffee with the sunrise and a scroll through Instagram
Assistant: I also already have to schedule and routinize my day because I work and go to school from home, so I make sure to give myself breaks where I literally must get up and leave my desk, be in another room for a little while.  
User: Yes, i like to be up to enjoy the mornings but i am also hard to get woken up
User: I like to stay up, but when it's time to get up i dread it
User: Bad cycle 
Assistant: ","Sure, that's understandable.  There are opportunities throughout the day to get a little more vitamin D, you just have to make sure to give yourself time to enjoy them."," I also have found it helps to put my phone on the other side of my bed and set my bed as my ""work"" space.  I do my work there and then it's time to go to bed.  Then, when I wake up, I have my coffee, my coffee is there, and I don't get distracted.  The coffee is my ""getting up"" time.",0.0423,0.0882
"User: Yes, i like to be up to enjoy the mornings but i am also hard to get woken up
User: I like to stay up, but when it's time to get up i dread it
User: Bad cycle 
Assistant: Sure, that's understandable.  There are opportunities throughout the day to get a little more vitamin D, you just have to make sure to give yourself time to enjoy them.  
User: Time is the fire in which we burn.
Assistant: ",Now that is intractable," I'm glad to hear that you're feeling better, I'm sure you will feel better soon. ",0.0218,0.1053
"Assistant: Sure, that's understandable.  There are opportunities throughout the day to get a little more vitamin D, you just have to make sure to give yourself time to enjoy them.  
User: Time is the fire in which we burn.
Assistant: Now that is intractable
User: Lol...yes it is
User: The pandemic heightens all our awareness of time and mortality
Assistant: ","Sometimes, to me, the enormity of the universe is calming to my anxiety.  Being assured that I mean absolutely nothing is nice sometimes."," I know, it's been a rough year.  I've been feeling the same way.",0.0166,0.125
"Assistant: Now that is intractable
User: Lol...yes it is
User: The pandemic heightens all our awareness of time and mortality
Assistant: Sometimes, to me, the enormity of the universe is calming to my anxiety.  Being assured that I mean absolutely nothing is nice sometimes. 
User: And drives the civil unrest which makes me feel anxious and insecure
Assistant: ","Not in a scary, better-off-dead kind of way, but in the way that a galaxy is a slow moving explosion.  I'm a flea to the universe."," But if we are to be honest, the world is a terrible place. ",0.0589,0.2286
"User: The pandemic heightens all our awareness of time and mortality
Assistant: Sometimes, to me, the enormity of the universe is calming to my anxiety.  Being assured that I mean absolutely nothing is nice sometimes. 
User: And drives the civil unrest which makes me feel anxious and insecure
Assistant: Not in a scary, better-off-dead kind of way, but in the way that a galaxy is a slow moving explosion.  I'm a flea to the universe.
User: Yes i find that a strangly comforting thought 
Assistant: ","... then you have to wonder, what are fleas thinking?!", I'm glad I could be of some help.,0,0.0
"User: And drives the civil unrest which makes me feel anxious and insecure
Assistant: Not in a scary, better-off-dead kind of way, but in the way that a galaxy is a slow moving explosion.  I'm a flea to the universe.
User: Yes i find that a strangly comforting thought 
Assistant: ... then you have to wonder, what are fleas thinking?!  
User: They have the luxury of instinct without having to ""think"" at all
Assistant: ","God, tell me more, lol"," I like that, it's a nice way to look at it. ",0,0.0
"Assistant: ... then you have to wonder, what are fleas thinking?!  
User: They have the luxury of instinct without having to ""think"" at all
Assistant: God, tell me more, lol
User: They just be fleas.
User: Fleas gonna flea.
Assistant: ",Galaxies gonna spiral.," Oh well, I don't think that's the way to go. ",0,0.0
"User: They just be fleas.
User: Fleas gonna flea.
Assistant: Galaxies gonna spiral.
User: I worry too that the U.S. government has no idea what it's doing
User: And the people at large are all losing their mental health 
Assistant: ","Yeah they have kicked the can down to local governments, local governments kick the can down to the citizens.  It's absurd. No on wants to take responsibility for taking responsibility.", You sound like a concerned person.,0,0.0
"User: Fleas gonna flea.
Assistant: Galaxies gonna spiral.
User: I worry too that the U.S. government has no idea what it's doing
User: And the people at large are all losing their mental health 
Assistant: Yeah they have kicked the can down to local governments, local governments kick the can down to the citizens.  It's absurd. No on wants to take responsibility for taking responsibility.  
Assistant: ","It's a very uncertain situation and it's a psychological reality that when we don't have physical or metnal security, it's extremely hard for a human being to progress through stages in life or learn new skill as well or at all"," If you can't get any of this figured out, maybe you should get a lawyer, and find out what your options are, and see what you can do.  ",0.0102,0.0667
"User: I worry too that the U.S. government has no idea what it's doing
User: And the people at large are all losing their mental health 
Assistant: Yeah they have kicked the can down to local governments, local governments kick the can down to the citizens.  It's absurd. No on wants to take responsibility for taking responsibility.  
Assistant: It's a very uncertain situation and it's a psychological reality that when we don't have physical or metnal security, it's extremely hard for a human being to progress through stages in life or learn new skill as well or at all
User: I guess it's like you said before, we can only change ourselves
Assistant: ","So everyone's plans are canceled for the year, plus no one has any idea when the shit's going to end, so not unlike a dog at the vet, the suffering seems interminable.", It's true.  It's not anyone else's fault.  We all are responsible for our own actions. ,0.0122,0.1364
"User: I guess it's like you said before, we can only change ourselves
Assistant: So everyone's plans are canceled for the year, plus no one has any idea when the shit's going to end, so not unlike a dog at the vet, the suffering seems interminable.  
User: And focus on our own development
User: True
User: Well thanks for your support and kind words, ending chat now
Assistant: ","Of course, have a great evening!", No problem!  I hope you feel a little better.  Take care!,0.0302,0.1176
"User: Hello.

Assistant: ",how are you feeling lately?," Hello, How are you?",0.0711,0.2222
"User: Hello.

Assistant: how are you feeling lately?

Assistant: ",how are you feeling lately?, I am here to listen.,0,0.0
"User: Hello.

Assistant: how are you feeling lately?

Assistant: how are you feeling lately?

User: Sad. I don't have any motivation.

Assistant: ","That's really hard. but,i think you can do it."," I understand, we are all in this together. ",0,0.0
"Assistant: how are you feeling lately?

Assistant: how are you feeling lately?

User: Sad. I don't have any motivation.

Assistant: That's really hard. but,i think you can do it.
User: Yeah. I just was supposed to be something important ya know? 

Assistant: ",It seems that you are really stressed about the situation., I can understand why you feel like that.,0.0329,0.1111
"User: Sad. I don't have any motivation.

Assistant: That's really hard. but,i think you can do it.
User: Yeah. I just was supposed to be something important ya know? 

Assistant: It seems that you are really stressed about the situation.
User: Thank you. I am. I just tried so hard for so long to do something meaningful with my life. And now I am coming to terms with having a ""normal"" job and I can't even do that right. 

Assistant: ",i feel the same way.now i understand the reason though.it is because i didn't know what to say to strangers., I had the same situation at some point.,0.0422,0.1538
"Assistant: It seems that you are really stressed about the situation.
User: Thank you. I am. I just tried so hard for so long to do something meaningful with my life. And now I am coming to terms with having a ""normal"" job and I can't even do that right. 

Assistant: i feel the same way.now i understand the reason though.it is because i didn't know what to say to strangers.
User: Yeah. I mean I know a lot of people struggle the same way. I just need ways to find validation that are not based on my job.

User: But validation doesn't pay the bills.

Assistant: ","some people express themselves in person, some communicate in words.have you tried any different ways?", maybe you can try to get a job that you like,0.021,0.0833
"User: Yeah. I mean I know a lot of people struggle the same way. I just need ways to find validation that are not based on my job.

User: But validation doesn't pay the bills.

Assistant: some people express themselves in person, some communicate in words.have you tried any different ways?
User: No, I will try that. Thank you for your advice.

User: I think that talking it out with some other people who are not family will be helpful as well. 

Assistant: ",no mention., you are very welcome. i hope you feel better.,0,0.0
"User: But validation doesn't pay the bills.

Assistant: some people express themselves in person, some communicate in words.have you tried any different ways?
User: No, I will try that. Thank you for your advice.

User: I think that talking it out with some other people who are not family will be helpful as well. 

Assistant: no mention.
Assistant: ",deep breaths can help people calm down., it's important to take care of yourself and be kind to yourself.,0,0.0
"User: No, I will try that. Thank you for your advice.

User: I think that talking it out with some other people who are not family will be helpful as well. 

Assistant: no mention.
Assistant: deep breaths can help people calm down.
User: I hadn't thought of that.

Assistant: ",could you try to take few deep breaths?, it's a good idea to talk with people who are not in your life.,0.0234,0.0909
"Assistant: no mention.
Assistant: deep breaths can help people calm down.
User: I hadn't thought of that.

Assistant: could you try to take few deep breaths?
User: Yes, I think I will do that.

Assistant: ",happy to hear., that's great.,0,0.0
"User: I hadn't thought of that.

Assistant: could you try to take few deep breaths?
User: Yes, I think I will do that.

Assistant: happy to hear.
User: I think I will follow your advice and try to take more mindful deep breaths and try to communicate with some other people in different ways. 

Assistant: ","well, thats a good idea to do do."," yeah, you will be able to do it. ",0.189,0.25
"User: Yes, I think I will do that.

Assistant: happy to hear.
User: I think I will follow your advice and try to take more mindful deep breaths and try to communicate with some other people in different ways. 

Assistant: well, thats a good idea to do do.
User: Thank you. You have been very helpful. Enjoy the rest of your day.

Assistant: ","yes, you too.have a great day."," you too, good luck!",0.0554,0.1818
"User: I need support to feel ok during the pandemic
Assistant: ",Hello., Hello! I am so sorry to hear that.,0,0.0
"User: I need support to feel ok during the pandemic
Assistant: Hello.

User: HI there

Assistant: ",What type of things are you worried about during the pandemic?," Hello. How are you feeling right now?
",0.1232,0.2222
"User: I need support to feel ok during the pandemic
Assistant: Hello.

User: HI there

Assistant: What type of things are you worried about during the pandemic?

User: That I may not find a job soon which is making me depressed

Assistant: ","So just to make sure I understand, you are anxious about possibly loosing your job due to the pandemic", So you are worried that you may not have a job in the future?,0.116,0.3226
"User: HI there

Assistant: What type of things are you worried about during the pandemic?

User: That I may not find a job soon which is making me depressed

Assistant: So just to make sure I understand, you are anxious about possibly loosing your job due to the pandemic

User: I am not working at the moment, I am looking for a job but it has been really difficult to find one
Assistant: ","Have you looked into a hiring agency? They are great at helping find people jobs, especially in these hard times.", Have you tried looking for jobs online?,0.0341,0.1481
"User: That I may not find a job soon which is making me depressed

Assistant: So just to make sure I understand, you are anxious about possibly loosing your job due to the pandemic

User: I am not working at the moment, I am looking for a job but it has been really difficult to find one
Assistant: Have you looked into a hiring agency? They are great at helping find people jobs, especially in these hard times. 

User: I have but seems like there are no entry level jobs currently and also some employers have ceased hiring
Assistant: ",After interviews have you been following up to show interest again in the job?," Have you tried going back to school? There are so many online courses that you could take to get your degree or certification in something that you would be interested in, that may help you get a job soon. 
",0.0142,0.1277
"User: I am not working at the moment, I am looking for a job but it has been really difficult to find one
Assistant: Have you looked into a hiring agency? They are great at helping find people jobs, especially in these hard times. 

User: I have but seems like there are no entry level jobs currently and also some employers have ceased hiring
Assistant: After interviews have you been following up to show interest again in the job?

User: Yes I have emailed every employer where I was interviewed. Also I follow up with every hiring agency I have signed up to.
Assistant: ","Have you networked with any previous co-workers? They might be able to help you find something as well,"," Have you looked into any temp work? It's always good to have an extra job, even if it's just for a little while.
",0.0889,0.1951
"User: I have but seems like there are no entry level jobs currently and also some employers have ceased hiring
Assistant: After interviews have you been following up to show interest again in the job?

User: Yes I have emailed every employer where I was interviewed. Also I follow up with every hiring agency I have signed up to.
Assistant: Have you networked with any previous co-workers? They might be able to help you find something as well,

User: They all suggest to wait for a few months till things are bit normal. They also advice to keep trying.
Assistant: ",Just from chatting with you for a few I can tell this is making you very anxious/, I am glad you are keeping busy and following up. ,0.0234,0.1481
"User: Yes I have emailed every employer where I was interviewed. Also I follow up with every hiring agency I have signed up to.
Assistant: Have you networked with any previous co-workers? They might be able to help you find something as well,

User: They all suggest to wait for a few months till things are bit normal. They also advice to keep trying.
Assistant: Just from chatting with you for a few I can tell this is making you very anxious/

User: Yes it indeed is
Assistant: ","I have also been worried recently about finding another job because of the pandemic, but I found that getting back into my hobbies has helped keep me distracted and get my mind off of it.", I had the same issue before I got married. I didn't want to get married because I was worried that I would not find a job. I had to make sure that I was prepared before I married so that I could get my job in the new state.,0.0619,0.1935
"Assistant: Just from chatting with you for a few I can tell this is making you very anxious/

User: Yes it indeed is
Assistant: I have also been worried recently about finding another job because of the pandemic, but I found that getting back into my hobbies has helped keep me distracted and get my mind off of it. 

User: It is very difficult to stay home doing nothing, it is very upsetting
User: I have started to paint which I have always enjoyed doing but again when I see others close me work and settled it makes me feel sad that I don't have a job
Assistant: ",I think painting more would be very helpful!," It sounds like you feel like you are stuck and having to do nothing, but it sounds like you are making a good effort to stay busy. 
",0,0.0
"Assistant: I have also been worried recently about finding another job because of the pandemic, but I found that getting back into my hobbies has helped keep me distracted and get my mind off of it. 

User: It is very difficult to stay home doing nothing, it is very upsetting
User: I have started to paint which I have always enjoyed doing but again when I see others close me work and settled it makes me feel sad that I don't have a job
Assistant: I think painting more would be very helpful!

User: I should try doing that, thanks
Assistant: ",No problem! If you have any other issues just chat in!," I'm glad you reached out. I hope you are feeling better about things.
",0.0253,0.0833
"User: I have started to paint which I have always enjoyed doing but again when I see others close me work and settled it makes me feel sad that I don't have a job
Assistant: I think painting more would be very helpful!

User: I should try doing that, thanks
Assistant: No problem! If you have any other issues just chat in!

User: No issues other than this at the moment. Have you found a new job?
Assistant: ","I have! I went through hiring agencies and got one. It did take a while, but it was super helpful."," I've been doing freelance work and it's been really nice!
",0.0123,0.0714
"User: I should try doing that, thanks
Assistant: No problem! If you have any other issues just chat in!

User: No issues other than this at the moment. Have you found a new job?
Assistant: I have! I went through hiring agencies and got one. It did take a while, but it was super helpful.

User: Glad to hear, Congratulations!! Hope I find a job soon
Assistant: ",I know you will find something soon!," You will! Keep trying! You got this!
",0,0.0
"User: No issues other than this at the moment. Have you found a new job?
Assistant: I have! I went through hiring agencies and got one. It did take a while, but it was super helpful.

User: Glad to hear, Congratulations!! Hope I find a job soon
Assistant: I know you will find something soon!

User: Thanks!!
Assistant: ",You're welcome!," You're welcome. I hope you feel better.
",0.0488,0.2
Assistant: ,"Hello there, how is your day going? Would you like to talk about anything?"," Hello there, how are you feeling today?
",0.1606,0.381
"Assistant: Hello there, how is your day going? Would you like to talk about anything? 
User: My day has been alright, finally got myself to go to the gym today after 4 weeks of not being motivated/ having the time so that's cool.
Assistant: ",Is there something specific that has caused you to lose motivation? I am happy to listen., That's good to hear. I am glad to hear that you are feeling better now. ,0.1581,0.2069
"Assistant: Hello there, how is your day going? Would you like to talk about anything? 
User: My day has been alright, finally got myself to go to the gym today after 4 weeks of not being motivated/ having the time so that's cool.
Assistant: Is there something specific that has caused you to lose motivation? I am happy to listen. 
User: It is hard to put a finger on it, it's just easy to get complacent for me. Especially when I am not seeing results... but i genuinely like going so I'm glad I forced myself to go.
Assistant: ",A lot of gyms have been closed due to the pandemic .. do you think that that knocked your schedule off kilter a bit?," Well, I am glad that you are doing something positive in your life. What are your plans for the future? ",0.0266,0.15
"User: My day has been alright, finally got myself to go to the gym today after 4 weeks of not being motivated/ having the time so that's cool.
Assistant: Is there something specific that has caused you to lose motivation? I am happy to listen. 
User: It is hard to put a finger on it, it's just easy to get complacent for me. Especially when I am not seeing results... but i genuinely like going so I'm glad I forced myself to go.
Assistant: A lot of gyms have been closed due to the pandemic .. do you think that that knocked your schedule off kilter a bit? 
User: Not necessarily, i mean I have had access for awhile, but definitely when they were closed in my state for a period of time it sucked, this whole pandemic sucks lol
Assistant: ",Yes it really does. I know that personally I am much less motivated to do anything at all than I was this time last year., I think that I can relate to that. I have been feeling very unmotivated too. ,0.0251,0.1667
"Assistant: Is there something specific that has caused you to lose motivation? I am happy to listen. 
User: It is hard to put a finger on it, it's just easy to get complacent for me. Especially when I am not seeing results... but i genuinely like going so I'm glad I forced myself to go.
Assistant: A lot of gyms have been closed due to the pandemic .. do you think that that knocked your schedule off kilter a bit? 
User: Not necessarily, i mean I have had access for awhile, but definitely when they were closed in my state for a period of time it sucked, this whole pandemic sucks lol
Assistant: Yes it really does. I know that personally I am much less motivated to do anything at all than I was this time last year. 
Assistant: ",Do you feel that there are other areas of your life that you are struggling with too?, Have you been able to take any walks in the last few weeks? ,0.0186,0.0741
"Assistant: A lot of gyms have been closed due to the pandemic .. do you think that that knocked your schedule off kilter a bit? 
User: Not necessarily, i mean I have had access for awhile, but definitely when they were closed in my state for a period of time it sucked, this whole pandemic sucks lol
Assistant: Yes it really does. I know that personally I am much less motivated to do anything at all than I was this time last year. 
Assistant: Do you feel that there are other areas of your life that you are struggling with too? 
User: I mean in school not doing great, and not super happy with my social life 
Assistant: ",Is there a specific problem with school or is it just 2020 fatigue?, Social life is a very important part of our identity. Do you feel that you are missing out on a lot of social activities due to the pandemic? ,0.0163,0.1053
