context,target,generated_response,bleu-2,rouge-l
Assistant: ,"Hi there, what is life like for you right now?","Hi, how are you today?",0.026,0.1333
"Assistant: Hi there, what is life like for you right now?
User: Pretty stressful. I'm a little bit anxious about school.
Assistant: ",So you're worried about your studies? I will try to help if I can. Please tell me all you can. ,I'm sorry to hear that. ,0.0035,0.16
"Assistant: Hi there, what is life like for you right now?
User: Pretty stressful. I'm a little bit anxious about school.
Assistant: So you're worried about your studies? I will try to help if I can. Please tell me all you can. 
User: Thank you. I am finishing up my third year in college so I have some career decisions to make. I'm also trying to find a job for this summer related to what I want to study.
Assistant: ",Are you finding that things are being made difficult because of the pandemic?,So you feel that your career path is uncertain at the moment? Is there anything else that you'd like to talk about? ,0.0255,0.1765
"User: Pretty stressful. I'm a little bit anxious about school.
Assistant: So you're worried about your studies? I will try to help if I can. Please tell me all you can. 
User: Thank you. I am finishing up my third year in college so I have some career decisions to make. I'm also trying to find a job for this summer related to what I want to study.
Assistant: Are you finding that things are being made difficult because of the pandemic?
User: Yes. Most of my classes are online. I really miss my friends and family.
Assistant: ",I hear you. I think we're all really suffering at the moment. Are you getting any support?,It sounds like you're feeling a bit lonely and disconnected from the people you care about. Is that right?,0.0242,0.1176
"User: Thank you. I am finishing up my third year in college so I have some career decisions to make. I'm also trying to find a job for this summer related to what I want to study.
Assistant: Are you finding that things are being made difficult because of the pandemic?
User: Yes. Most of my classes are online. I really miss my friends and family.
Assistant: I hear you. I think we're all really suffering at the moment. Are you getting any support?
User: I do live with three of my friends so it's nice to have their support. I'm glad I'm not alone

Assistant: ",What sort of thing do you want to go into when your studies are over?,I can relate to that. It's a very stressful time. I think you're doing really well to be able to continue your studies. ,0.0199,0.1667
"User: Yes. Most of my classes are online. I really miss my friends and family.
Assistant: I hear you. I think we're all really suffering at the moment. Are you getting any support?
User: I do live with three of my friends so it's nice to have their support. I'm glad I'm not alone

Assistant: What sort of thing do you want to go into when your studies are over?
User: I'm studying psychology, I want to become a therapist or social worker
Assistant: ",That is a really worth profession. Have you thought of doing some volunteer work before you graduate?,I'm sure you'll find that a fulfilling career. Is there anything else I can help you with today?,0.0256,0.1176
"User: I do live with three of my friends so it's nice to have their support. I'm glad I'm not alone

Assistant: What sort of thing do you want to go into when your studies are over?
User: I'm studying psychology, I want to become a therapist or social worker
Assistant: That is a really worth profession. Have you thought of doing some volunteer work before you graduate?
User: Yes! I am trying to get a job at a suicide hotline for the summer
Assistant: ",That is an awesome thing to do though it could be very mentally draining. Do you feel up to it?,That is a great idea! I would also recommend joining a group of people who are interested in mental health.,0.0725,0.1053
"Assistant: That is a really worth profession. Have you thought of doing some volunteer work before you graduate?
User: Yes! I am trying to get a job at a suicide hotline for the summer
Assistant: That is an awesome thing to do though it could be very mentally draining. Do you feel up to it?
User: I know I'm up to it, but this week I've been having a hard time

User: Just struggling to stay motivated in school

Assistant: ",Don't put yourself under too much pressure if you are suffering yourself. ,I have also had a hard time finding motivation during school. I would recommend talking to your parents about this.,0,0.0
"Assistant: That is an awesome thing to do though it could be very mentally draining. Do you feel up to it?
User: I know I'm up to it, but this week I've been having a hard time

User: Just struggling to stay motivated in school

Assistant: Don't put yourself under too much pressure if you are suffering yourself. 
User: I try not to. Sometimes it's hard to put myself first

Assistant: ",I think a lot of people who work helping other people have that sort of problem - it's too easy to neglect yourself. ,I understand that. I have been having similar struggles myself. ,0.0128,0.25
"User: Just struggling to stay motivated in school

Assistant: Don't put yourself under too much pressure if you are suffering yourself. 
User: I try not to. Sometimes it's hard to put myself first

Assistant: I think a lot of people who work helping other people have that sort of problem - it's too easy to neglect yourself. 
User: It's good to hear I'm not alone in feeling this way

Assistant: ",Is there anything else you'd like to tell me about how you're feeling right now?,I hope I have been able to help a little and thank you for talking! ,0.0218,0.069
"User: I try not to. Sometimes it's hard to put myself first

Assistant: I think a lot of people who work helping other people have that sort of problem - it's too easy to neglect yourself. 
User: It's good to hear I'm not alone in feeling this way

Assistant: Is there anything else you'd like to tell me about how you're feeling right now?
User: I got a job offer today, I'm very proud of myself!
Assistant: ",That sounds wonderful - is it the sort of job you were really looking for?,That's great news! It sounds like you're doing everything you can to be happy and secure. ,0.0289,0.125
"User: It's good to hear I'm not alone in feeling this way

Assistant: Is there anything else you'd like to tell me about how you're feeling right now?
User: I got a job offer today, I'm very proud of myself!
Assistant: That sounds wonderful - is it the sort of job you were really looking for?
User: Sort of. It's an opportunity to work for one of my favorite professors over the summer. I'm still going to work on that suicide hotline job as well

Assistant: ",Don't over extend yourself though. Make sure to give yourself plenty of you time. ,That sounds like a great opportunity! I think it would be great to work with that professor. ,0.0192,0.129
"User: I got a job offer today, I'm very proud of myself!
Assistant: That sounds wonderful - is it the sort of job you were really looking for?
User: Sort of. It's an opportunity to work for one of my favorite professors over the summer. I'm still going to work on that suicide hotline job as well

Assistant: Don't over extend yourself though. Make sure to give yourself plenty of you time. 
User: That's a good point. I struggle with that.

Assistant: ","Maybe set aside a few hours each week where you do something just for you, even if someone else claims that they need you. ",I hope I have been able to be of some help to you. I know you are going to be a great teacher.,0.0233,0.0488
"User: Sort of. It's an opportunity to work for one of my favorite professors over the summer. I'm still going to work on that suicide hotline job as well

Assistant: Don't over extend yourself though. Make sure to give yourself plenty of you time. 
User: That's a good point. I struggle with that.

Assistant: Maybe set aside a few hours each week where you do something just for you, even if someone else claims that they need you. 
User: I will try that! Okay, thank you so much for your advice. I'm going to log off now. This has been very helpful.
Assistant: ","Wait till we hit the fifteen minute mark :D. And you're most welcome, have a lovely day! ",You are welcome. I hope things go well for you and that you get the help that you need. ,0.0171,0.0588
Assistant: ,"Hello, what can I help you with this evening?  ",Hi! How are you?,0,0.0
"Assistant: Hello, what can I help you with this evening?  
User: I am feeling very depressed lately.
User: Like a constant pressure that i don't know exactly what it is
Assistant: ","Depression is extremely rough to deal with, I'm very sorry to hear you're going through that.  ",I am sorry to hear that.  What do you think is causing it?,0.201,0.3448
"Assistant: Hello, what can I help you with this evening?  
User: I am feeling very depressed lately.
User: Like a constant pressure that i don't know exactly what it is
Assistant: Depression is extremely rough to deal with, I'm very sorry to hear you're going through that.  
User: I think the days getting shorter makes it worse.
Assistant: ","Oh yes, less light during the day makes the days seem compacted and suffocating","It does seem to, I've been feeling that way myself. ",0.0223,0.0833
"User: Like a constant pressure that i don't know exactly what it is
Assistant: Depression is extremely rough to deal with, I'm very sorry to hear you're going through that.  
User: I think the days getting shorter makes it worse.
Assistant: Oh yes, less light during the day makes the days seem compacted and suffocating
User: Do you have any tips on how to overcome it?
Assistant: ",I believe there are special lamps that you could get to help.  I personally have been trying to get up a little earlier in the morning and enjoy my coffee with the sunrise and a scroll through Instagram,"I had a hard time dealing with it myself, but I found it helpful to go for a walk every day.  I'd say the fresh air and the change of scenery helped me a lot.",0.0252,0.1935
"Assistant: Depression is extremely rough to deal with, I'm very sorry to hear you're going through that.  
User: I think the days getting shorter makes it worse.
Assistant: Oh yes, less light during the day makes the days seem compacted and suffocating
User: Do you have any tips on how to overcome it?
Assistant: I believe there are special lamps that you could get to help.  I personally have been trying to get up a little earlier in the morning and enjoy my coffee with the sunrise and a scroll through Instagram
Assistant: ","I also already have to schedule and routinize my day because I work and go to school from home, so I make sure to give myself breaks where I literally must get up and leave my desk, be in another room for a little while.  ","I also know that there are lots of support groups for people who are depressed, you could reach out to one of them.  ",0.0342,0.1333
"Assistant: I believe there are special lamps that you could get to help.  I personally have been trying to get up a little earlier in the morning and enjoy my coffee with the sunrise and a scroll through Instagram
Assistant: I also already have to schedule and routinize my day because I work and go to school from home, so I make sure to give myself breaks where I literally must get up and leave my desk, be in another room for a little while.  
User: Yes, i like to be up to enjoy the mornings but i am also hard to get woken up
User: I like to stay up, but when it's time to get up i dread it
User: Bad cycle 
Assistant: ","Sure, that's understandable.  There are opportunities throughout the day to get a little more vitamin D, you just have to make sure to give yourself time to enjoy them.  ","I think you have to force yourself up, it will help you get out of bed more easily",0.076,0.1818
"User: Yes, i like to be up to enjoy the mornings but i am also hard to get woken up
User: I like to stay up, but when it's time to get up i dread it
User: Bad cycle 
Assistant: Sure, that's understandable.  There are opportunities throughout the day to get a little more vitamin D, you just have to make sure to give yourself time to enjoy them.  
User: Time is the fire in which we burn.
Assistant: ",Now that is intractable,I'm sure there are some morning routines that you could adopt to make getting up a bit more enjoyable.,0.0171,0.087
"Assistant: Sure, that's understandable.  There are opportunities throughout the day to get a little more vitamin D, you just have to make sure to give yourself time to enjoy them.  
User: Time is the fire in which we burn.
Assistant: Now that is intractable
User: Lol...yes it is
User: The pandemic heightens all our awareness of time and mortality
Assistant: ","Sometimes, to me, the enormity of the universe is calming to my anxiety.  Being assured that I mean absolutely nothing is nice sometimes. ",Exactly.  How do you think you are feeling now?,0,0.0
"Assistant: Now that is intractable
User: Lol...yes it is
User: The pandemic heightens all our awareness of time and mortality
Assistant: Sometimes, to me, the enormity of the universe is calming to my anxiety.  Being assured that I mean absolutely nothing is nice sometimes. 
User: And drives the civil unrest which makes me feel anxious and insecure
Assistant: ","Not in a scary, better-off-dead kind of way, but in the way that a galaxy is a slow moving explosion.  I'm a flea to the universe.",What about the future?,0.0004,0.08
"User: The pandemic heightens all our awareness of time and mortality
Assistant: Sometimes, to me, the enormity of the universe is calming to my anxiety.  Being assured that I mean absolutely nothing is nice sometimes. 
User: And drives the civil unrest which makes me feel anxious and insecure
Assistant: Not in a scary, better-off-dead kind of way, but in the way that a galaxy is a slow moving explosion.  I'm a flea to the universe.
User: Yes i find that a strangly comforting thought 
Assistant: ","... then you have to wonder, what are fleas thinking?!  ","Yes, I'm a flea to the universe.  I think you are too. ",0.0477,0.2727
"User: And drives the civil unrest which makes me feel anxious and insecure
Assistant: Not in a scary, better-off-dead kind of way, but in the way that a galaxy is a slow moving explosion.  I'm a flea to the universe.
User: Yes i find that a strangly comforting thought 
Assistant: ... then you have to wonder, what are fleas thinking?!  
User: They have the luxury of instinct without having to ""think"" at all
Assistant: ","God, tell me more, lol","I think they are pretty busy.  I'm sure they are thinking about how to get to the next door flea, and then how to get to the one after that.  ",0,0.0
"Assistant: ... then you have to wonder, what are fleas thinking?!  
User: They have the luxury of instinct without having to ""think"" at all
Assistant: God, tell me more, lol
User: They just be fleas.
User: Fleas gonna flea.
Assistant: ",Galaxies gonna spiral.,Fleas are the worst!  I've been on a diet for a year and I still have fleas.  I can't even use my dog right now because he has fleas.  lol,0,0.0
"User: They just be fleas.
User: Fleas gonna flea.
Assistant: Galaxies gonna spiral.
User: I worry too that the U.S. government has no idea what it's doing
User: And the people at large are all losing their mental health 
Assistant: ","Yeah they have kicked the can down to local governments, local governments kick the can down to the citizens.  It's absurd. No on wants to take responsibility for taking responsibility.  ","I think the government is doing the best they can, and it will get better.",0.0139,0.0541
"User: Fleas gonna flea.
Assistant: Galaxies gonna spiral.
User: I worry too that the U.S. government has no idea what it's doing
User: And the people at large are all losing their mental health 
Assistant: Yeah they have kicked the can down to local governments, local governments kick the can down to the citizens.  It's absurd. No on wants to take responsibility for taking responsibility.  
Assistant: ","It's a very uncertain situation and it's a psychological reality that when we don't have physical or metnal security, it's extremely hard for a human being to progress through stages in life or learn new skill as well or at all","I have been in the same boat.  I was told to do this, do that, and take care of my family.  ",0.0119,0.1071
"User: I worry too that the U.S. government has no idea what it's doing
User: And the people at large are all losing their mental health 
Assistant: Yeah they have kicked the can down to local governments, local governments kick the can down to the citizens.  It's absurd. No on wants to take responsibility for taking responsibility.  
Assistant: It's a very uncertain situation and it's a psychological reality that when we don't have physical or metnal security, it's extremely hard for a human being to progress through stages in life or learn new skill as well or at all
User: I guess it's like you said before, we can only change ourselves
Assistant: ","So everyone's plans are canceled for the year, plus no one has any idea when the shit's going to end, so not unlike a dog at the vet, the suffering seems interminable.  ",I think you are right. ,0.0003,0.1111
"User: I guess it's like you said before, we can only change ourselves
Assistant: So everyone's plans are canceled for the year, plus no one has any idea when the shit's going to end, so not unlike a dog at the vet, the suffering seems interminable.  
User: And focus on our own development
User: True
User: Well thanks for your support and kind words, ending chat now
Assistant: ","Of course, have a great evening!","You're welcome, I hope you can find something to enjoy.",0,0.0
"User: Hello.

Assistant: ","how are you feeling lately?
","Hello, how are you today?
",0.5477,0.6
"User: Hello.

Assistant: how are you feeling lately?

Assistant: ","how are you feeling lately?
","Hello, what can I help you with today?",0.0423,0.1538
"User: Hello.

Assistant: how are you feeling lately?

Assistant: how are you feeling lately?

User: Sad. I don't have any motivation.

Assistant: ","That's really hard. but,i think you can do it.","I see, you are feeling down?",0.035,0.1333
"Assistant: how are you feeling lately?

Assistant: how are you feeling lately?

User: Sad. I don't have any motivation.

Assistant: That's really hard. but,i think you can do it.
User: Yeah. I just was supposed to be something important ya know? 

Assistant: ",It seems that you are really stressed about the situation.,i see. so you are feeling a bit depressed?,0.1491,0.2105
"User: Sad. I don't have any motivation.

Assistant: That's really hard. but,i think you can do it.
User: Yeah. I just was supposed to be something important ya know? 

Assistant: It seems that you are really stressed about the situation.
User: Thank you. I am. I just tried so hard for so long to do something meaningful with my life. And now I am coming to terms with having a ""normal"" job and I can't even do that right. 

Assistant: ",i feel the same way.now i understand the reason though.it is because i didn't know what to say to strangers.,I think that you can try to take some time to do something you like.,0.0221,0.0645
"Assistant: It seems that you are really stressed about the situation.
User: Thank you. I am. I just tried so hard for so long to do something meaningful with my life. And now I am coming to terms with having a ""normal"" job and I can't even do that right. 

Assistant: i feel the same way.now i understand the reason though.it is because i didn't know what to say to strangers.
User: Yeah. I mean I know a lot of people struggle the same way. I just need ways to find validation that are not based on my job.

User: But validation doesn't pay the bills.

Assistant: ","some people express themselves in person, some communicate in words.have you tried any different ways?",You can try to go to gym or to take a walk in the park.,0.0218,0.0741
"User: Yeah. I mean I know a lot of people struggle the same way. I just need ways to find validation that are not based on my job.

User: But validation doesn't pay the bills.

Assistant: some people express themselves in person, some communicate in words.have you tried any different ways?
User: No, I will try that. Thank you for your advice.

User: I think that talking it out with some other people who are not family will be helpful as well. 

Assistant: ",no mention.,you're welcome!,0,0.0
"User: But validation doesn't pay the bills.

Assistant: some people express themselves in person, some communicate in words.have you tried any different ways?
User: No, I will try that. Thank you for your advice.

User: I think that talking it out with some other people who are not family will be helpful as well. 

Assistant: no mention.
Assistant: ",deep breaths can help people calm down.,"there is a lot of ways to deal with a problem, just need to find the one that fits you.",0,0.0
"User: No, I will try that. Thank you for your advice.

User: I think that talking it out with some other people who are not family will be helpful as well. 

Assistant: no mention.
Assistant: deep breaths can help people calm down.
User: I hadn't thought of that.

Assistant: ",could you try to take few deep breaths?,i think you have the right approach.,0.0423,0.1333
"Assistant: no mention.
Assistant: deep breaths can help people calm down.
User: I hadn't thought of that.

Assistant: could you try to take few deep breaths?
User: Yes, I think I will do that.

Assistant: ",happy to hear.,are you able to do that?,0.0577,0.2222
"User: I hadn't thought of that.

Assistant: could you try to take few deep breaths?
User: Yes, I think I will do that.

Assistant: happy to hear.
User: I think I will follow your advice and try to take more mindful deep breaths and try to communicate with some other people in different ways. 

Assistant: ","well, thats a good idea to do do.",yes. that sounds good.,0,0.1818
"User: Yes, I think I will do that.

Assistant: happy to hear.
User: I think I will follow your advice and try to take more mindful deep breaths and try to communicate with some other people in different ways. 

Assistant: well, thats a good idea to do do.
User: Thank you. You have been very helpful. Enjoy the rest of your day.

Assistant: ","yes, you too.have a great day.",You too.,0,0.2222
"User: I need support to feel ok during the pandemic
Assistant: ","Hello.
",I am so sorry to hear that.  Is there anything specific you are having trouble with?,0,0.0
"User: I need support to feel ok during the pandemic
Assistant: Hello.

User: HI there

Assistant: ","What type of things are you worried about during the pandemic?
","How are you doing today?
",0.0952,0.25
"User: I need support to feel ok during the pandemic
Assistant: Hello.

User: HI there

Assistant: What type of things are you worried about during the pandemic?

User: That I may not find a job soon which is making me depressed

Assistant: ","So just to make sure I understand, you are anxious about possibly loosing your job due to the pandemic
","I'm sorry to hear that. Do you have a job right now?
",0.0266,0.2
"User: HI there

Assistant: What type of things are you worried about during the pandemic?

User: That I may not find a job soon which is making me depressed

Assistant: So just to make sure I understand, you are anxious about possibly loosing your job due to the pandemic

User: I am not working at the moment, I am looking for a job but it has been really difficult to find one
Assistant: ","Have you looked into a hiring agency? They are great at helping find people jobs, especially in these hard times. 
","I understand how you are feeling, I have been looking for a job for a while as well and it is frustrating and difficult
",0.0233,0.0976
"User: That I may not find a job soon which is making me depressed

Assistant: So just to make sure I understand, you are anxious about possibly loosing your job due to the pandemic

User: I am not working at the moment, I am looking for a job but it has been really difficult to find one
Assistant: Have you looked into a hiring agency? They are great at helping find people jobs, especially in these hard times. 

User: I have but seems like there are no entry level jobs currently and also some employers have ceased hiring
Assistant: ","After interviews have you been following up to show interest again in the job?
","I understand. I have been in your shoes too. I was really afraid for my job too. I am glad you are here to talk and get support today. I know you can get through this!
",0.0199,0.2326
"User: I am not working at the moment, I am looking for a job but it has been really difficult to find one
Assistant: Have you looked into a hiring agency? They are great at helping find people jobs, especially in these hard times. 

User: I have but seems like there are no entry level jobs currently and also some employers have ceased hiring
Assistant: After interviews have you been following up to show interest again in the job?

User: Yes I have emailed every employer where I was interviewed. Also I follow up with every hiring agency I have signed up to.
Assistant: ","Have you networked with any previous co-workers? They might be able to help you find something as well,
","I am sorry to hear that. I have been in the same situation. I know how frustrating it can be. 
",0.0162,0.1111
"User: I have but seems like there are no entry level jobs currently and also some employers have ceased hiring
Assistant: After interviews have you been following up to show interest again in the job?

User: Yes I have emailed every employer where I was interviewed. Also I follow up with every hiring agency I have signed up to.
Assistant: Have you networked with any previous co-workers? They might be able to help you find something as well,

User: They all suggest to wait for a few months till things are bit normal. They also advice to keep trying.
Assistant: ","Just from chatting with you for a few I can tell this is making you very anxious/
",That is good advice. I am sure things will pick up again soon. ,0.0263,0.1333
"User: Yes I have emailed every employer where I was interviewed. Also I follow up with every hiring agency I have signed up to.
Assistant: Have you networked with any previous co-workers? They might be able to help you find something as well,

User: They all suggest to wait for a few months till things are bit normal. They also advice to keep trying.
Assistant: Just from chatting with you for a few I can tell this is making you very anxious/

User: Yes it indeed is
Assistant: ","I have also been worried recently about finding another job because of the pandemic, but I found that getting back into my hobbies has helped keep me distracted and get my mind off of it. 
","I know this is not going to help you at all, but just from chatting with you, I can tell you are trying your best. ",0.015,0.1053
"Assistant: Just from chatting with you for a few I can tell this is making you very anxious/

User: Yes it indeed is
Assistant: I have also been worried recently about finding another job because of the pandemic, but I found that getting back into my hobbies has helped keep me distracted and get my mind off of it. 

User: It is very difficult to stay home doing nothing, it is very upsetting
User: I have started to paint which I have always enjoyed doing but again when I see others close me work and settled it makes me feel sad that I don't have a job
Assistant: ","I think painting more would be very helpful!
","Yes, it can be really hard to stay occupied when you are at home. ",0.0234,0.087
"Assistant: I have also been worried recently about finding another job because of the pandemic, but I found that getting back into my hobbies has helped keep me distracted and get my mind off of it. 

User: It is very difficult to stay home doing nothing, it is very upsetting
User: I have started to paint which I have always enjoyed doing but again when I see others close me work and settled it makes me feel sad that I don't have a job
Assistant: I think painting more would be very helpful!

User: I should try doing that, thanks
Assistant: ","No problem! If you have any other issues just chat in!
",No problem! I hope you start feeling a bit more better soon!,0.1508,0.2609
"User: I have started to paint which I have always enjoyed doing but again when I see others close me work and settled it makes me feel sad that I don't have a job
Assistant: I think painting more would be very helpful!

User: I should try doing that, thanks
Assistant: No problem! If you have any other issues just chat in!

User: No issues other than this at the moment. Have you found a new job?
Assistant: ","I have! I went through hiring agencies and got one. It did take a while, but it was super helpful.
",I am still looking. I am just finishing my studies!,0.0173,0.0714
"User: I should try doing that, thanks
Assistant: No problem! If you have any other issues just chat in!

User: No issues other than this at the moment. Have you found a new job?
Assistant: I have! I went through hiring agencies and got one. It did take a while, but it was super helpful.

User: Glad to hear, Congratulations!! Hope I find a job soon
Assistant: ","I know you will find something soon!
",I hope you do too!,0.067,0.3333
"User: No issues other than this at the moment. Have you found a new job?
Assistant: I have! I went through hiring agencies and got one. It did take a while, but it was super helpful.

User: Glad to hear, Congratulations!! Hope I find a job soon
Assistant: I know you will find something soon!

User: Thanks!!
Assistant: ","You're welcome!
","Is there anything else I can help you with today?
",0,0.0
Assistant: ,"Hello there, how is your day going? Would you like to talk about anything? ",Hello! How are you doing today?,0.0152,0.1
"Assistant: Hello there, how is your day going? Would you like to talk about anything? 
User: My day has been alright, finally got myself to go to the gym today after 4 weeks of not being motivated/ having the time so that's cool.
Assistant: ",Is there something specific that has caused you to lose motivation? I am happy to listen. ,That's great! Exercise is such a good motivator isn't it? I have found it really helps with motivation for myself. ,0.0162,0.1081
"Assistant: Hello there, how is your day going? Would you like to talk about anything? 
User: My day has been alright, finally got myself to go to the gym today after 4 weeks of not being motivated/ having the time so that's cool.
Assistant: Is there something specific that has caused you to lose motivation? I am happy to listen. 
User: It is hard to put a finger on it, it's just easy to get complacent for me. Especially when I am not seeing results... but i genuinely like going so I'm glad I forced myself to go.
Assistant: ",A lot of gyms have been closed due to the pandemic .. do you think that that knocked your schedule off kilter a bit? ,I can understand that. I have been feeling the same way about exercise too. I have found that joining a group can really motivate me. ,0.0913,0.2326
"User: My day has been alright, finally got myself to go to the gym today after 4 weeks of not being motivated/ having the time so that's cool.
Assistant: Is there something specific that has caused you to lose motivation? I am happy to listen. 
User: It is hard to put a finger on it, it's just easy to get complacent for me. Especially when I am not seeing results... but i genuinely like going so I'm glad I forced myself to go.
Assistant: A lot of gyms have been closed due to the pandemic .. do you think that that knocked your schedule off kilter a bit? 
User: Not necessarily, i mean I have had access for awhile, but definitely when they were closed in my state for a period of time it sucked, this whole pandemic sucks lol
Assistant: ",Yes it really does. I know that personally I am much less motivated to do anything at all than I was this time last year. ,"Well, I hope that you feel that you are doing something that will be beneficial in the long term. ",0.0176,0.1463
"Assistant: Is there something specific that has caused you to lose motivation? I am happy to listen. 
User: It is hard to put a finger on it, it's just easy to get complacent for me. Especially when I am not seeing results... but i genuinely like going so I'm glad I forced myself to go.
Assistant: A lot of gyms have been closed due to the pandemic .. do you think that that knocked your schedule off kilter a bit? 
User: Not necessarily, i mean I have had access for awhile, but definitely when they were closed in my state for a period of time it sucked, this whole pandemic sucks lol
Assistant: Yes it really does. I know that personally I am much less motivated to do anything at all than I was this time last year. 
Assistant: ",Do you feel that there are other areas of your life that you are struggling with too? ,I hope that I have been able to help a little. Is there anything else that I can help you with? ,0.0309,0.1935
"Assistant: A lot of gyms have been closed due to the pandemic .. do you think that that knocked your schedule off kilter a bit? 
User: Not necessarily, i mean I have had access for awhile, but definitely when they were closed in my state for a period of time it sucked, this whole pandemic sucks lol
Assistant: Yes it really does. I know that personally I am much less motivated to do anything at all than I was this time last year. 
Assistant: Do you feel that there are other areas of your life that you are struggling with too? 
User: I mean in school not doing great, and not super happy with my social life 
Assistant: ",Is there a specific problem with school or is it just 2020 fatigue? ,I hear you. I have been having some really bad days too. Have you tried to talk to your friends about it? ,0,0.0
"Assistant: Yes it really does. I know that personally I am much less motivated to do anything at all than I was this time last year. 
Assistant: Do you feel that there are other areas of your life that you are struggling with too? 
User: I mean in school not doing great, and not super happy with my social life 
Assistant: Is there a specific problem with school or is it just 2020 fatigue? 
User: Its hard to stay motivated, I don't really enjoy it, i mean I am sure a lot of people dont' but its very hard to focus and I'm worried I am in school for the wrong reasons, covid stuff def doesnt help tho
Assistant: ",I do not know how long you have to go in school but if you have not done very much so far would you consider dropping out and perhaps training for a profession instead? ,Yes it is very hard to stay motivated. Have you considered a change of major? ,0.0123,0.1333
