context,target,generated_response,bleu-2,rouge-l,target_strategy,pred_strategy,strategy_match
"Assistant: Hi there, what is life like for you right now?
User: Pretty stressful. I'm a little bit anxious about school.
Assistant: So you're worried about your studies? I will try to help if I can. Please tell me all you can. 
User: Thank you. I am finishing up my third year in college so I have some career decisions to make. I'm also trying to find a job for this summer related to what I want to study.
Assistant: ",Are you finding that things are being made difficult because of the pandemic?, Oh that's great that you're finishing up. So you have a bit of time to think about what you want to do after graduation? ,0.0233,0.1714,[Question],[Question],1
"User: Pretty stressful. I'm a little bit anxious about school.
Assistant: So you're worried about your studies? I will try to help if I can. Please tell me all you can. 
User: Thank you. I am finishing up my third year in college so I have some career decisions to make. I'm also trying to find a job for this summer related to what I want to study.
Assistant: Are you finding that things are being made difficult because of the pandemic?
User: Yes. Most of my classes are online. I really miss my friends and family.
Assistant: ",I hear you. I think we're all really suffering at the moment. Are you getting any support?, I can understand that. I am in the same situation as you. ,0.0363,0.2222,[Self-disclosure],[Affirmation and Reassurance],0
"User: Thank you. I am finishing up my third year in college so I have some career decisions to make. I'm also trying to find a job for this summer related to what I want to study.
Assistant: Are you finding that things are being made difficult because of the pandemic?
User: Yes. Most of my classes are online. I really miss my friends and family.
Assistant: I hear you. I think we're all really suffering at the moment. Are you getting any support?
User: I do live with three of my friends so it's nice to have their support. I'm glad I'm not alone

Assistant: ",What sort of thing do you want to go into when your studies are over?, I hope you can get through this and get a job and a degree. I know that's a lot to hope for but it's the best thing you can do for yourself. ,0.0201,0.1026,[Question],[Others],0
"User: Yes. Most of my classes are online. I really miss my friends and family.
Assistant: I hear you. I think we're all really suffering at the moment. Are you getting any support?
User: I do live with three of my friends so it's nice to have their support. I'm glad I'm not alone

Assistant: What sort of thing do you want to go into when your studies are over?
User: I'm studying psychology, I want to become a therapist or social worker
Assistant: ",That is a really worth profession. Have you thought of doing some volunteer work before you graduate?, That's great! I think you'll be good at it. Is there anything else you want to talk about?,0.0181,0.0588,[Providing Suggestions],[Others],0
"User: I do live with three of my friends so it's nice to have their support. I'm glad I'm not alone

Assistant: What sort of thing do you want to go into when your studies are over?
User: I'm studying psychology, I want to become a therapist or social worker
Assistant: That is a really worth profession. Have you thought of doing some volunteer work before you graduate?
User: Yes! I am trying to get a job at a suicide hotline for the summer
Assistant: ",That is an awesome thing to do though it could be very mentally draining. Do you feel up to it?, That is a good idea. That will give you a sense of what you are going to be doing. ,0.1147,0.2778,[Question],[Providing Suggestions],0
"Assistant: That is a really worth profession. Have you thought of doing some volunteer work before you graduate?
User: Yes! I am trying to get a job at a suicide hotline for the summer
Assistant: That is an awesome thing to do though it could be very mentally draining. Do you feel up to it?
User: I know I'm up to it, but this week I've been having a hard time

User: Just struggling to stay motivated in school

Assistant: ",Don't put yourself under too much pressure if you are suffering yourself., I am sorry to hear that. Do you have anyone that you can talk to about your struggles?,0.0181,0.0769,[Providing Suggestions],[Question],0
"Assistant: That is an awesome thing to do though it could be very mentally draining. Do you feel up to it?
User: I know I'm up to it, but this week I've been having a hard time

User: Just struggling to stay motivated in school

Assistant: Don't put yourself under too much pressure if you are suffering yourself. 
User: I try not to. Sometimes it's hard to put myself first

Assistant: ",I think a lot of people who work helping other people have that sort of problem - it's too easy to neglect yourself., Have you considered trying to join a study group with your classmates? ,0.0156,0.0606,[Information],[Providing Suggestions],0
"User: Just struggling to stay motivated in school

Assistant: Don't put yourself under too much pressure if you are suffering yourself. 
User: I try not to. Sometimes it's hard to put myself first

Assistant: I think a lot of people who work helping other people have that sort of problem - it's too easy to neglect yourself. 
User: It's good to hear I'm not alone in feeling this way

Assistant: ",Is there anything else you'd like to tell me about how you're feeling right now?, I think you should give yourself a little extra credit for a job well done. ,0,0.0,[Question],[Providing Suggestions],0
"User: I try not to. Sometimes it's hard to put myself first

Assistant: I think a lot of people who work helping other people have that sort of problem - it's too easy to neglect yourself. 
User: It's good to hear I'm not alone in feeling this way

Assistant: Is there anything else you'd like to tell me about how you're feeling right now?
User: I got a job offer today, I'm very proud of myself!
Assistant: ",That sounds wonderful - is it the sort of job you were really looking for?, That's great to hear! It must feel amazing to be able to work on something that you really care about and feel that you are being paid for your efforts. ,0.0152,0.0976,[Question],[Affirmation and Reassurance],0
"User: It's good to hear I'm not alone in feeling this way

Assistant: Is there anything else you'd like to tell me about how you're feeling right now?
User: I got a job offer today, I'm very proud of myself!
Assistant: That sounds wonderful - is it the sort of job you were really looking for?
User: Sort of. It's an opportunity to work for one of my favorite professors over the summer. I'm still going to work on that suicide hotline job as well

Assistant: ",Don't over extend yourself though. Make sure to give yourself plenty of you time., That sounds like a great opportunity to you!,0.02,0.0952,[Providing Suggestions],[Others],0
"User: I got a job offer today, I'm very proud of myself!
Assistant: That sounds wonderful - is it the sort of job you were really looking for?
User: Sort of. It's an opportunity to work for one of my favorite professors over the summer. I'm still going to work on that suicide hotline job as well

Assistant: Don't over extend yourself though. Make sure to give yourself plenty of you time. 
User: That's a good point. I struggle with that.

Assistant: ","Maybe set aside a few hours each week where you do something just for you, even if someone else claims that they need you.", I think you have been doing a great job of taking care of yourself. I am sure you will be able to get through this. ,0.0183,0.0435,[Providing Suggestions],[Providing Suggestions],1
"User: Sort of. It's an opportunity to work for one of my favorite professors over the summer. I'm still going to work on that suicide hotline job as well

Assistant: Don't over extend yourself though. Make sure to give yourself plenty of you time. 
User: That's a good point. I struggle with that.

Assistant: Maybe set aside a few hours each week where you do something just for you, even if someone else claims that they need you. 
User: I will try that! Okay, thank you so much for your advice. I'm going to log off now. This has been very helpful.
Assistant: ","Wait till we hit the fifteen minute mark :D. And you're most welcome, have a lovely day!", I'm glad I could help! I hope you have a great rest of your day. ,0.0854,0.125,[Others],[Others],1
Assistant: ,"Hello, what can I help you with this evening?", Hello.,0,0.0,[Question],[Others],0
"Assistant: Hello, what can I help you with this evening?  
User: I am feeling very depressed lately.
User: Like a constant pressure that i don't know exactly what it is
Assistant: ","Depression is extremely rough to deal with, I'm very sorry to hear you're going through that.", I'm sorry to hear that.  Do you have any ideas of what could be causing this?,0.2041,0.3226,[Affirmation and Reassurance],[Question],0
"Assistant: Hello, what can I help you with this evening?  
User: I am feeling very depressed lately.
User: Like a constant pressure that i don't know exactly what it is
Assistant: Depression is extremely rough to deal with, I'm very sorry to hear you're going through that.  
User: I think the days getting shorter makes it worse.
Assistant: ","Oh yes, less light during the day makes the days seem compacted and suffocating", The days are shorter and the weather is cool.  Is there a specific reason for that?,0.0354,0.1379,[Affirmation and Reassurance],[Providing Suggestions],0
"User: Like a constant pressure that i don't know exactly what it is
Assistant: Depression is extremely rough to deal with, I'm very sorry to hear you're going through that.  
User: I think the days getting shorter makes it worse.
Assistant: Oh yes, less light during the day makes the days seem compacted and suffocating
User: Do you have any tips on how to overcome it?
Assistant: ",I believe there are special lamps that you could get to help.  I personally have been trying to get up a little earlier in the morning and enjoy my coffee with the sunrise and a scroll through Instagram," I'm sorry to hear that, I'm not sure if I can help you with that, but I would recommend looking for some sort of medication or counseling.",0.0178,0.1071,[Self-disclosure],[Providing Suggestions],0
"Assistant: Depression is extremely rough to deal with, I'm very sorry to hear you're going through that.  
User: I think the days getting shorter makes it worse.
Assistant: Oh yes, less light during the day makes the days seem compacted and suffocating
User: Do you have any tips on how to overcome it?
Assistant: I believe there are special lamps that you could get to help.  I personally have been trying to get up a little earlier in the morning and enjoy my coffee with the sunrise and a scroll through Instagram
Assistant: ","I also already have to schedule and routinize my day because I work and go to school from home, so I make sure to give myself breaks where I literally must get up and leave my desk, be in another room for a little while."," There's also a lot of technology you could use, like a small night light that will shine a little bit of light to help you feel more connected to the world at night",0.0478,0.0952,[Self-disclosure],[Information],0
"Assistant: I believe there are special lamps that you could get to help.  I personally have been trying to get up a little earlier in the morning and enjoy my coffee with the sunrise and a scroll through Instagram
Assistant: I also already have to schedule and routinize my day because I work and go to school from home, so I make sure to give myself breaks where I literally must get up and leave my desk, be in another room for a little while.  
User: Yes, i like to be up to enjoy the mornings but i am also hard to get woken up
User: I like to stay up, but when it's time to get up i dread it
User: Bad cycle 
Assistant: ","Sure, that's understandable.  There are opportunities throughout the day to get a little more vitamin D, you just have to make sure to give yourself time to enjoy them."," I see, I can understand that.  I have found that it helps me to have a small reward or something, maybe a cup of tea or something.  I usually get up at 6:30 so I can have my coffee and enjoy the day.  The best part is that if I have to get up at 6:30, I'm not as tired as I would be if I got up at 8 or 9.  I just feel like I have a better chance to get things done.",0.0502,0.1235,[Providing Suggestions],[Providing Suggestions],1
"User: Yes, i like to be up to enjoy the mornings but i am also hard to get woken up
User: I like to stay up, but when it's time to get up i dread it
User: Bad cycle 
Assistant: Sure, that's understandable.  There are opportunities throughout the day to get a little more vitamin D, you just have to make sure to give yourself time to enjoy them.  
User: Time is the fire in which we burn.
Assistant: ",Now that is intractable," Yes, it's a good idea to spend some time before you leave to enjoy the fresh air and sunshine.  ",0,0.0,[Others],[Affirmation and Reassurance],0
"Assistant: Sure, that's understandable.  There are opportunities throughout the day to get a little more vitamin D, you just have to make sure to give yourself time to enjoy them.  
User: Time is the fire in which we burn.
Assistant: Now that is intractable
User: Lol...yes it is
User: The pandemic heightens all our awareness of time and mortality
Assistant: ","Sometimes, to me, the enormity of the universe is calming to my anxiety.  Being assured that I mean absolutely nothing is nice sometimes.", It's true.  It's easy to forget how much time we have.  ,0.0101,0.0645,[Self-disclosure],[Affirmation and Reassurance],0
"Assistant: Now that is intractable
User: Lol...yes it is
User: The pandemic heightens all our awareness of time and mortality
Assistant: Sometimes, to me, the enormity of the universe is calming to my anxiety.  Being assured that I mean absolutely nothing is nice sometimes. 
User: And drives the civil unrest which makes me feel anxious and insecure
Assistant: ","Not in a scary, better-off-dead kind of way, but in the way that a galaxy is a slow moving explosion.  I'm a flea to the universe."," The pandemic does not mean the world is ending, it means we are all going to be more aware of our situation. ",0.0245,0.0909,[Others],[Affirmation and Reassurance],0
"User: The pandemic heightens all our awareness of time and mortality
Assistant: Sometimes, to me, the enormity of the universe is calming to my anxiety.  Being assured that I mean absolutely nothing is nice sometimes. 
User: And drives the civil unrest which makes me feel anxious and insecure
Assistant: Not in a scary, better-off-dead kind of way, but in the way that a galaxy is a slow moving explosion.  I'm a flea to the universe.
User: Yes i find that a strangly comforting thought 
Assistant: ","... then you have to wonder, what are fleas thinking?!", It's good that you're not in fear of losing your life.  That is a very big deal.  I think it's good that you're being so careful about your health.  I'm sure you're feeling a lot of stress from that.  Can you think of ways to relax yourself?,0.0096,0.087,[Others],[Providing Suggestions],0
"User: And drives the civil unrest which makes me feel anxious and insecure
Assistant: Not in a scary, better-off-dead kind of way, but in the way that a galaxy is a slow moving explosion.  I'm a flea to the universe.
User: Yes i find that a strangly comforting thought 
Assistant: ... then you have to wonder, what are fleas thinking?!  
User: They have the luxury of instinct without having to ""think"" at all
Assistant: ","God, tell me more, lol"," Yes.  And you don't need to think about how to deal with the world, unless you're interested in making sure that your children grow up in a world that isn't your world.",0,0.0,[Others],[Providing Suggestions],0
"Assistant: ... then you have to wonder, what are fleas thinking?!  
User: They have the luxury of instinct without having to ""think"" at all
Assistant: God, tell me more, lol
User: They just be fleas.
User: Fleas gonna flea.
Assistant: ",Galaxies gonna spiral., that's true.,0,0.0,[Others],[Others],1
"User: They just be fleas.
User: Fleas gonna flea.
Assistant: Galaxies gonna spiral.
User: I worry too that the U.S. government has no idea what it's doing
User: And the people at large are all losing their mental health 
Assistant: ","Yeah they have kicked the can down to local governments, local governments kick the can down to the citizens.  It's absurd. No on wants to take responsibility for taking responsibility."," I know, but I think it's the best that they can do. They have a lot of problems and they are trying to solve it. ",0.0236,0.1739,[Reflection of feelings],[Providing Suggestions],0
"User: Fleas gonna flea.
Assistant: Galaxies gonna spiral.
User: I worry too that the U.S. government has no idea what it's doing
User: And the people at large are all losing their mental health 
Assistant: Yeah they have kicked the can down to local governments, local governments kick the can down to the citizens.  It's absurd. No on wants to take responsibility for taking responsibility.  
Assistant: ","It's a very uncertain situation and it's a psychological reality that when we don't have physical or metnal security, it's extremely hard for a human being to progress through stages in life or learn new skill as well or at all"," You are not alone, so many people are feeling this way.  But, we can only be responsible for our own actions.  We can't do anything about what the government does.  We just have to make sure we're not in the government's way.",0.017,0.137,[Providing Suggestions],[Providing Suggestions],1
"User: I worry too that the U.S. government has no idea what it's doing
User: And the people at large are all losing their mental health 
Assistant: Yeah they have kicked the can down to local governments, local governments kick the can down to the citizens.  It's absurd. No on wants to take responsibility for taking responsibility.  
Assistant: It's a very uncertain situation and it's a psychological reality that when we don't have physical or metnal security, it's extremely hard for a human being to progress through stages in life or learn new skill as well or at all
User: I guess it's like you said before, we can only change ourselves
Assistant: ","So everyone's plans are canceled for the year, plus no one has any idea when the shit's going to end, so not unlike a dog at the vet, the suffering seems interminable."," Yes exactly, it's just a matter of how you respond to the situation.  If you respond with fear, you will be more vulnerable and more likely to get sick.  If you respond with strength, you will be more vulnerable and more likely to get sick.  It's a balancing act.  If you respond with fear, you will be more vulnerable and more likely to get sick.  If you respond with strength, you will be more vulnerable and more likely to get sick.  It's a balancing act.  ",0.0065,0.1034,[Reflection of feelings],[Affirmation and Reassurance],0
"User: I guess it's like you said before, we can only change ourselves
Assistant: So everyone's plans are canceled for the year, plus no one has any idea when the shit's going to end, so not unlike a dog at the vet, the suffering seems interminable.  
User: And focus on our own development
User: True
User: Well thanks for your support and kind words, ending chat now
Assistant: ","Of course, have a great evening!"," Good luck, I hope you find yourself a new job or something and a new pet.  ",0.0204,0.0952,[Others],[Others],1
"User: Hello.

Assistant: ",how are you feeling lately?," Hello, how are you doing?",0.5477,0.6,[Question],[Question],1
"User: Hello.

Assistant: how are you feeling lately?

Assistant: ",how are you feeling lately?, hello?,0,0.0,[Restatement or Paraphrasing],[Others],0
"User: Hello.

Assistant: how are you feeling lately?

Assistant: how are you feeling lately?

User: Sad. I don't have any motivation.

Assistant: ","That's really hard. but,i think you can do it."," why are you sad?
",0.0262,0.1538,[Affirmation and Reassurance],[Question],0
"Assistant: how are you feeling lately?

Assistant: how are you feeling lately?

User: Sad. I don't have any motivation.

Assistant: That's really hard. but,i think you can do it.
User: Yeah. I just was supposed to be something important ya know? 

Assistant: ",It seems that you are really stressed about the situation., It's hard but you can do it. ,0.0318,0.1111,[Reflection of feelings],[Affirmation and Reassurance],0
"User: Sad. I don't have any motivation.

Assistant: That's really hard. but,i think you can do it.
User: Yeah. I just was supposed to be something important ya know? 

Assistant: It seems that you are really stressed about the situation.
User: Thank you. I am. I just tried so hard for so long to do something meaningful with my life. And now I am coming to terms with having a ""normal"" job and I can't even do that right. 

Assistant: ",i feel the same way.now i understand the reason though.it is because i didn't know what to say to strangers.," I'm sorry to hear that. but, I think you can do it.",0.0141,0.1333,[Self-disclosure],[Affirmation and Reassurance],0
"Assistant: It seems that you are really stressed about the situation.
User: Thank you. I am. I just tried so hard for so long to do something meaningful with my life. And now I am coming to terms with having a ""normal"" job and I can't even do that right. 

Assistant: i feel the same way.now i understand the reason though.it is because i didn't know what to say to strangers.
User: Yeah. I mean I know a lot of people struggle the same way. I just need ways to find validation that are not based on my job.

User: But validation doesn't pay the bills.

Assistant: ","some people express themselves in person, some communicate in words.have you tried any different ways?", have you tried to ask someone close to you for advice?,0.0937,0.2609,[Providing Suggestions],[Providing Suggestions],1
"User: Yeah. I mean I know a lot of people struggle the same way. I just need ways to find validation that are not based on my job.

User: But validation doesn't pay the bills.

Assistant: some people express themselves in person, some communicate in words.have you tried any different ways?
User: No, I will try that. Thank you for your advice.

User: I think that talking it out with some other people who are not family will be helpful as well. 

Assistant: ",no mention.," yes, it will be.",0,0.0,[Others],[Affirmation and Reassurance],0
"User: But validation doesn't pay the bills.

Assistant: some people express themselves in person, some communicate in words.have you tried any different ways?
User: No, I will try that. Thank you for your advice.

User: I think that talking it out with some other people who are not family will be helpful as well. 

Assistant: no mention.
Assistant: ",deep breaths can help people calm down., you are welcome.,0,0.0,[Providing Suggestions],[Affirmation and Reassurance],0
"User: No, I will try that. Thank you for your advice.

User: I think that talking it out with some other people who are not family will be helpful as well. 

Assistant: no mention.
Assistant: deep breaths can help people calm down.
User: I hadn't thought of that.

Assistant: ",could you try to take few deep breaths?, I'm glad you're taking the time to express yourself.,0.0373,0.1176,[Providing Suggestions],[Affirmation and Reassurance],0
"Assistant: no mention.
Assistant: deep breaths can help people calm down.
User: I hadn't thought of that.

Assistant: could you try to take few deep breaths?
User: Yes, I think I will do that.

Assistant: ",happy to hear., okay.,0,0.0,[Reflection of feelings],[Others],0
"User: I hadn't thought of that.

Assistant: could you try to take few deep breaths?
User: Yes, I think I will do that.

Assistant: happy to hear.
User: I think I will follow your advice and try to take more mindful deep breaths and try to communicate with some other people in different ways. 

Assistant: ","well, thats a good idea to do do.", i am glad to hear that.,0.0414,0.1538,[Affirmation and Reassurance],[Others],0
"User: Yes, I think I will do that.

Assistant: happy to hear.
User: I think I will follow your advice and try to take more mindful deep breaths and try to communicate with some other people in different ways. 

Assistant: well, thats a good idea to do do.
User: Thank you. You have been very helpful. Enjoy the rest of your day.

Assistant: ","yes, you too.have a great day.", you too.,0.0303,0.4444,[Others],[Others],1
"User: I need support to feel ok during the pandemic
Assistant: ",Hello., I am sorry to hear that. It is tough to deal with things right now. ,0,0.0,[Others],[Affirmation and Reassurance],0
"User: I need support to feel ok during the pandemic
Assistant: Hello.

User: HI there

Assistant: ",What type of things are you worried about during the pandemic?," What is the issue that you are facing at the moment?
",0.0603,0.2857,[Question],[Question],1
"User: I need support to feel ok during the pandemic
Assistant: Hello.

User: HI there

Assistant: What type of things are you worried about during the pandemic?

User: That I may not find a job soon which is making me depressed

Assistant: ","So just to make sure I understand, you are anxious about possibly loosing your job due to the pandemic"," Do you have any family or friends that you can reach out to?
",0.016,0.0667,[Restatement or Paraphrasing],[Question],0
"User: HI there

Assistant: What type of things are you worried about during the pandemic?

User: That I may not find a job soon which is making me depressed

Assistant: So just to make sure I understand, you are anxious about possibly loosing your job due to the pandemic

User: I am not working at the moment, I am looking for a job but it has been really difficult to find one
Assistant: ","Have you looked into a hiring agency? They are great at helping find people jobs, especially in these hard times."," I understand how anxious you may be about that.  I can relate to being worried about losing a job too.  I've had that anxiety before
",0.0183,0.0952,[Providing Suggestions],[Affirmation and Reassurance],0
"User: That I may not find a job soon which is making me depressed

Assistant: So just to make sure I understand, you are anxious about possibly loosing your job due to the pandemic

User: I am not working at the moment, I am looking for a job but it has been really difficult to find one
Assistant: Have you looked into a hiring agency? They are great at helping find people jobs, especially in these hard times. 

User: I have but seems like there are no entry level jobs currently and also some employers have ceased hiring
Assistant: ",After interviews have you been following up to show interest again in the job?," That can definitely be frustrating. I have a few suggestions for you to try. 
",0.0406,0.2069,[Providing Suggestions],[Providing Suggestions],1
"User: I am not working at the moment, I am looking for a job but it has been really difficult to find one
Assistant: Have you looked into a hiring agency? They are great at helping find people jobs, especially in these hard times. 

User: I have but seems like there are no entry level jobs currently and also some employers have ceased hiring
Assistant: After interviews have you been following up to show interest again in the job?

User: Yes I have emailed every employer where I was interviewed. Also I follow up with every hiring agency I have signed up to.
Assistant: ","Have you networked with any previous co-workers? They might be able to help you find something as well,", That's great. They are always looking for people to fill in until things pick up. It's a good idea to keep looking.,0.0208,0.1081,[Providing Suggestions],[Information],0
"User: I have but seems like there are no entry level jobs currently and also some employers have ceased hiring
Assistant: After interviews have you been following up to show interest again in the job?

User: Yes I have emailed every employer where I was interviewed. Also I follow up with every hiring agency I have signed up to.
Assistant: Have you networked with any previous co-workers? They might be able to help you find something as well,

User: They all suggest to wait for a few months till things are bit normal. They also advice to keep trying.
Assistant: ",Just from chatting with you for a few I can tell this is making you very anxious/, I'm sure you will find something eventually. ,0.0117,0.0833,[Reflection of feelings],[Others],0
"User: Yes I have emailed every employer where I was interviewed. Also I follow up with every hiring agency I have signed up to.
Assistant: Have you networked with any previous co-workers? They might be able to help you find something as well,

User: They all suggest to wait for a few months till things are bit normal. They also advice to keep trying.
Assistant: Just from chatting with you for a few I can tell this is making you very anxious/

User: Yes it indeed is
Assistant: ","I have also been worried recently about finding another job because of the pandemic, but I found that getting back into my hobbies has helped keep me distracted and get my mind off of it.", Maybe you can take a few days off from work and go out and do something fun?,0.0094,0.0417,[Self-disclosure],[Providing Suggestions],0
"Assistant: Just from chatting with you for a few I can tell this is making you very anxious/

User: Yes it indeed is
Assistant: I have also been worried recently about finding another job because of the pandemic, but I found that getting back into my hobbies has helped keep me distracted and get my mind off of it. 

User: It is very difficult to stay home doing nothing, it is very upsetting
User: I have started to paint which I have always enjoyed doing but again when I see others close me work and settled it makes me feel sad that I don't have a job
Assistant: ",I think painting more would be very helpful!," You mentioned that you enjoy painting, maybe you could start a painting club at your local library or something like that? ",0.0154,0.0714,[Others],[Providing Suggestions],0
"Assistant: I have also been worried recently about finding another job because of the pandemic, but I found that getting back into my hobbies has helped keep me distracted and get my mind off of it. 

User: It is very difficult to stay home doing nothing, it is very upsetting
User: I have started to paint which I have always enjoyed doing but again when I see others close me work and settled it makes me feel sad that I don't have a job
Assistant: I think painting more would be very helpful!

User: I should try doing that, thanks
Assistant: ",No problem! If you have any other issues just chat in!," I have also found that going to the library has been a good way to keep busy and spend time with people, even if it's not face to face.
",0.0111,0.0526,[Others],[Providing Suggestions],0
"User: I have started to paint which I have always enjoyed doing but again when I see others close me work and settled it makes me feel sad that I don't have a job
Assistant: I think painting more would be very helpful!

User: I should try doing that, thanks
Assistant: No problem! If you have any other issues just chat in!

User: No issues other than this at the moment. Have you found a new job?
Assistant: ","I have! I went through hiring agencies and got one. It did take a while, but it was super helpful."," I am currently looking for one! It took me a while but I am almost ready!
",0.0355,0.2424,[Self-disclosure],[Others],0
"User: I should try doing that, thanks
Assistant: No problem! If you have any other issues just chat in!

User: No issues other than this at the moment. Have you found a new job?
Assistant: I have! I went through hiring agencies and got one. It did take a while, but it was super helpful.

User: Glad to hear, Congratulations!! Hope I find a job soon
Assistant: ",I know you will find something soon!," It is a very tough time, but you can do it!",0.0302,0.1111,[Affirmation and Reassurance],[Affirmation and Reassurance],1
"User: No issues other than this at the moment. Have you found a new job?
Assistant: I have! I went through hiring agencies and got one. It did take a while, but it was super helpful.

User: Glad to hear, Congratulations!! Hope I find a job soon
Assistant: I know you will find something soon!

User: Thanks!!
Assistant: ",You're welcome!," You're welcome! Good luck with everything. I hope you can get through this!
",0.1132,0.2667,[Others],[Others],1
Assistant: ,"Hello there, how is your day going? Would you like to talk about anything?"," Hello there, how are you feeling today? ",0.1606,0.381,[Question],[Question],1
"Assistant: Hello there, how is your day going? Would you like to talk about anything? 
User: My day has been alright, finally got myself to go to the gym today after 4 weeks of not being motivated/ having the time so that's cool.
Assistant: ",Is there something specific that has caused you to lose motivation? I am happy to listen., That's great that you have been able to get yourself motivated. ,0.0331,0.2222,[Others],[Restatement or Paraphrasing],0
