context,target,generated,bleu-2,rouge-l,extrema,ppl,target_strategy,pred_strategy
[Turn: 1] Assistant: ," Hi there, what is life like for you right now?", Hello!,0,0.0,54.1015625,-,[Question],[Others]
"[Turn: 2] Assistant: Hi there, what is life like for you right now?
User: Pretty stressful. I'm a little bit anxious about school.
Assistant: ", So you're worried about your studies? I will try to help if I can. Please tell me all you can. ," I'm sorry to hear that, have you tried to talk to your teachers or classmates?",2.7082337919563324,12.499999517578143,90.91796875,-,[Restatement or Paraphrasing],[Question]
"[Turn: 3] Assistant: Hi there, what is life like for you right now?
User: Pretty stressful. I'm a little bit anxious about school.
Assistant: So you're worried about your studies? I will try to help if I can. Please tell me all you can. 
User: Thank you. I am finishing up my third year in college so I have some career decisions to make. I'm also trying to find a job for this summer related to what I want to study.
Assistant: ", Are you finding that things are being made difficult because of the pandemic?, It sounds like you are worried about your future. Correct me if I'm wrong.,3.31496772065898,14.814814315500705,85.986328125,-,[Question],[Restatement or Paraphrasing]
"[Turn: 4] User: Pretty stressful. I'm a little bit anxious about school.
Assistant: So you're worried about your studies? I will try to help if I can. Please tell me all you can. 
User: Thank you. I am finishing up my third year in college so I have some career decisions to make. I'm also trying to find a job for this summer related to what I want to study.
Assistant: Are you finding that things are being made difficult because of the pandemic?
User: Yes. Most of my classes are online. I really miss my friends and family.
Assistant: ", I hear you. I think we're all really suffering at the moment. Are you getting any support?, It sounds like you are missing being able to see your friends and family. ,1.8919131800745688,6.666666166666705,89.306640625,-,[Self-disclosure],[Restatement or Paraphrasing]
"[Turn: 5] User: Thank you. I am finishing up my third year in college so I have some career decisions to make. I'm also trying to find a job for this summer related to what I want to study.
Assistant: Are you finding that things are being made difficult because of the pandemic?
User: Yes. Most of my classes are online. I really miss my friends and family.
Assistant: I hear you. I think we're all really suffering at the moment. Are you getting any support?
User: I do live with three of my friends so it's nice to have their support. I'm glad I'm not alone

Assistant: ", What sort of thing do you want to go into when your studies are over?, I'm sorry to hear that. Do you have anyone else you're able to talk to?,3.0860669992418384,13.793102948870409,87.890625,-,[Question],[Question]
"[Turn: 6] User: Yes. Most of my classes are online. I really miss my friends and family.
Assistant: I hear you. I think we're all really suffering at the moment. Are you getting any support?
User: I do live with three of my friends so it's nice to have their support. I'm glad I'm not alone

Assistant: What sort of thing do you want to go into when your studies are over?
User: I'm studying psychology, I want to become a therapist or social worker
Assistant: ", That is a really worth profession. Have you thought of doing some volunteer work before you graduate?, That's a good choice. I think that would be a really good career for you.,8.540817058966221,20.689654677764576,91.259765625,-,[Providing Suggestions],[Providing Suggestions]
"[Turn: 7] User: I do live with three of my friends so it's nice to have their support. I'm glad I'm not alone

Assistant: What sort of thing do you want to go into when your studies are over?
User: I'm studying psychology, I want to become a therapist or social worker
Assistant: That is a really worth profession. Have you thought of doing some volunteer work before you graduate?
User: Yes! I am trying to get a job at a suicide hotline for the summer
Assistant: ", That is an awesome thing to do though it could be very mentally draining. Do you feel up to it?, That is a great idea. What sort of things are you doing for work?,8.363705397055062,18.18181769329662,89.74609375,-,[Question],[Question]
"[Turn: 8] Assistant: That is a really worth profession. Have you thought of doing some volunteer work before you graduate?
User: Yes! I am trying to get a job at a suicide hotline for the summer
Assistant: That is an awesome thing to do though it could be very mentally draining. Do you feel up to it?
User: I know I'm up to it, but this week I've been having a hard time

User: Just struggling to stay motivated in school

Assistant: ", Don't put yourself under too much pressure if you are suffering yourself. , That is a very hard problem to have. Have you tried talking to your professors about your problems?,1.8077538151554673,7.142856653061259,88.916015625,-,[Providing Suggestions],[Providing Suggestions]
"[Turn: 9] Assistant: That is an awesome thing to do though it could be very mentally draining. Do you feel up to it?
User: I know I'm up to it, but this week I've been having a hard time

User: Just struggling to stay motivated in school

Assistant: Don't put yourself under too much pressure if you are suffering yourself. 
User: I try not to. Sometimes it's hard to put myself first

Assistant: ", I think a lot of people who work helping other people have that sort of problem - it's too easy to neglect yourself. ," Sometimes it is hard to do that, but it is a good thing to do.",1.8104295382598925,12.121211676767695,90.625,-,[Information],[Providing Suggestions]
"[Turn: 10] User: Just struggling to stay motivated in school

Assistant: Don't put yourself under too much pressure if you are suffering yourself. 
User: I try not to. Sometimes it's hard to put myself first

Assistant: I think a lot of people who work helping other people have that sort of problem - it's too easy to neglect yourself. 
User: It's good to hear I'm not alone in feeling this way

Assistant: ", Is there anything else you'd like to tell me about how you're feeling right now?, Are you at school for a job? ,0,0.0,85.400390625,-,[Question],[Question]
"[Turn: 11] User: I try not to. Sometimes it's hard to put myself first

Assistant: I think a lot of people who work helping other people have that sort of problem - it's too easy to neglect yourself. 
User: It's good to hear I'm not alone in feeling this way

Assistant: Is there anything else you'd like to tell me about how you're feeling right now?
User: I got a job offer today, I'm very proud of myself!
Assistant: ", That sounds wonderful - is it the sort of job you were really looking for?, That's really great. That's a really good thing to be proud of. ,2.1435786060341306,7.6923072041420415,89.404296875,-,[Question],[Others]
"[Turn: 12] User: It's good to hear I'm not alone in feeling this way

Assistant: Is there anything else you'd like to tell me about how you're feeling right now?
User: I got a job offer today, I'm very proud of myself!
Assistant: That sounds wonderful - is it the sort of job you were really looking for?
User: Sort of. It's an opportunity to work for one of my favorite professors over the summer. I'm still going to work on that suicide hotline job as well

Assistant: ", Don't over extend yourself though. Make sure to give yourself plenty of you time. , That sounds like a great choice. Is there anything else you'd like to talk about? ,2.1821789023599236,7.142856642857177,91.259765625,-,[Providing Suggestions],[Others]
"[Turn: 13] User: I got a job offer today, I'm very proud of myself!
Assistant: That sounds wonderful - is it the sort of job you were really looking for?
User: Sort of. It's an opportunity to work for one of my favorite professors over the summer. I'm still going to work on that suicide hotline job as well

Assistant: Don't over extend yourself though. Make sure to give yourself plenty of you time. 
User: That's a good point. I struggle with that.

Assistant: "," Maybe set aside a few hours each week where you do something just for you, even if someone else claims that they need you. "," Well, I hope you feel better about your life now. ",0.8219898798053553,11.428570997551038,90.478515625,-,[Providing Suggestions],[Providing Suggestions]
"[Turn: 14] User: Sort of. It's an opportunity to work for one of my favorite professors over the summer. I'm still going to work on that suicide hotline job as well

Assistant: Don't over extend yourself though. Make sure to give yourself plenty of you time. 
User: That's a good point. I struggle with that.

Assistant: Maybe set aside a few hours each week where you do something just for you, even if someone else claims that they need you. 
User: I will try that! Okay, thank you so much for your advice. I'm going to log off now. This has been very helpful.
Assistant: "," Wait till we hit the fifteen minute mark :D. And you're most welcome, have a lovely day! ", No worries. Good luck!,0,0.0,82.2265625,-,[Others],[Others]
[Turn: 1] Assistant: ," Hello, what can I help you with this evening?  ", Hi there,0,0.0,56.8359375,-,[Question],[Others]
"[Turn: 2] Assistant: Hello, what can I help you with this evening?  
User: I am feeling very depressed lately.
User: Like a constant pressure that i don't know exactly what it is
Assistant: "," Depression is extremely rough to deal with, I'm very sorry to hear you're going through that.  ", I'm sorry to hear that.  What has been happening?,17.121789552719815,39.9999995392,92.529296875,-,[Affirmation and Reassurance],[Question]
"[Turn: 3] Assistant: Hello, what can I help you with this evening?  
User: I am feeling very depressed lately.
User: Like a constant pressure that i don't know exactly what it is
Assistant: Depression is extremely rough to deal with, I'm very sorry to hear you're going through that.  
User: I think the days getting shorter makes it worse.
Assistant: "," Oh yes, less light during the day makes the days seem compacted and suffocating"," Yes, I have definitely noticed that as well.  ",0,0.0,86.23046875,-,[Affirmation and Reassurance],[Self-disclosure]
"[Turn: 4] User: Like a constant pressure that i don't know exactly what it is
Assistant: Depression is extremely rough to deal with, I'm very sorry to hear you're going through that.  
User: I think the days getting shorter makes it worse.
Assistant: Oh yes, less light during the day makes the days seem compacted and suffocating
User: Do you have any tips on how to overcome it?
Assistant: ", I believe there are special lamps that you could get to help.  I personally have been trying to get up a little earlier in the morning and enjoy my coffee with the sunrise and a scroll through Instagram, Have you tried talking to a therapist?,0.10083977036483487,15.384615090072323,87.255859375,-,[Self-disclosure],[Providing Suggestions]
"[Turn: 5] Assistant: Depression is extremely rough to deal with, I'm very sorry to hear you're going through that.  
User: I think the days getting shorter makes it worse.
Assistant: Oh yes, less light during the day makes the days seem compacted and suffocating
User: Do you have any tips on how to overcome it?
Assistant: I believe there are special lamps that you could get to help.  I personally have been trying to get up a little earlier in the morning and enjoy my coffee with the sunrise and a scroll through Instagram
Assistant: "," I also already have to schedule and routinize my day because I work and go to school from home, so I make sure to give myself breaks where I literally must get up and leave my desk, be in another room for a little while.  "," I also try to maintain my routine, exercise, eat right, and be sure to get enough sleep",4.954995245564885,25.925925508916325,92.67578125,-,[Self-disclosure],[Providing Suggestions]
"[Turn: 6] Assistant: I believe there are special lamps that you could get to help.  I personally have been trying to get up a little earlier in the morning and enjoy my coffee with the sunrise and a scroll through Instagram
Assistant: I also already have to schedule and routinize my day because I work and go to school from home, so I make sure to give myself breaks where I literally must get up and leave my desk, be in another room for a little while.  
User: Yes, i like to be up to enjoy the mornings but i am also hard to get woken up
User: I like to stay up, but when it's time to get up i dread it
User: Bad cycle 
Assistant: "," Sure, that's understandable.  There are opportunities throughout the day to get a little more vitamin D, you just have to make sure to give yourself time to enjoy them.  "," I understand that, but that's not what you want to happen.  You want to be able to wake up and enjoy the morning and have a good day. ",3.3292763043583773,19.23076873150889,95.1171875,-,[Providing Suggestions],[Affirmation and Reassurance]
"[Turn: 7] User: Yes, i like to be up to enjoy the mornings but i am also hard to get woken up
User: I like to stay up, but when it's time to get up i dread it
User: Bad cycle 
Assistant: Sure, that's understandable.  There are opportunities throughout the day to get a little more vitamin D, you just have to make sure to give yourself time to enjoy them.  
User: Time is the fire in which we burn.
Assistant: ", Now that is intractable, It's so true!,0,0.0,74.072265625,-,[Others],[Others]
"[Turn: 8] Assistant: Sure, that's understandable.  There are opportunities throughout the day to get a little more vitamin D, you just have to make sure to give yourself time to enjoy them.  
User: Time is the fire in which we burn.
Assistant: Now that is intractable
User: Lol...yes it is
User: The pandemic heightens all our awareness of time and mortality
Assistant: "," Sometimes, to me, the enormity of the universe is calming to my anxiety.  Being assured that I mean absolutely nothing is nice sometimes. "," It does, doesn't it?  It's not a good thing, but it's also a good thing, because it's got us focusing on what we can control.  And, we're getting a chance to reflect and grow.  ",0.9440686400617013,7.843136770472925,91.796875,-,[Self-disclosure],[Affirmation and Reassurance]
"[Turn: 9] Assistant: Now that is intractable
User: Lol...yes it is
User: The pandemic heightens all our awareness of time and mortality
Assistant: Sometimes, to me, the enormity of the universe is calming to my anxiety.  Being assured that I mean absolutely nothing is nice sometimes. 
User: And drives the civil unrest which makes me feel anxious and insecure
Assistant: "," Not in a scary, better-off-dead kind of way, but in the way that a galaxy is a slow moving explosion.  I'm a flea to the universe."," That is a good question.  Is there anything in your life that has been making you feel a sense of accomplishment?  A job, a home, a family?",10.675210253672473,17.777777280000016,93.994140625,-,[Others],[Question]
"[Turn: 10] User: The pandemic heightens all our awareness of time and mortality
Assistant: Sometimes, to me, the enormity of the universe is calming to my anxiety.  Being assured that I mean absolutely nothing is nice sometimes. 
User: And drives the civil unrest which makes me feel anxious and insecure
Assistant: Not in a scary, better-off-dead kind of way, but in the way that a galaxy is a slow moving explosion.  I'm a flea to the universe.
User: Yes i find that a strangly comforting thought 
Assistant: "," ... then you have to wonder, what are fleas thinking?!  "," I think it's a good thing that you're being so productive with your time.  You're making yourself a better person, and that's good. ",0,6.249999570312531,88.28125,-,[Others],[Others]
"[Turn: 11] User: And drives the civil unrest which makes me feel anxious and insecure
Assistant: Not in a scary, better-off-dead kind of way, but in the way that a galaxy is a slow moving explosion.  I'm a flea to the universe.
User: Yes i find that a strangly comforting thought 
Assistant: ... then you have to wonder, what are fleas thinking?!  
User: They have the luxury of instinct without having to ""think"" at all
Assistant: "," God, tell me more, lol", You're so very welcome.  I hope you're feeling a little better today.  I hope you feel like a little better tomorrow.,0,0.0,79.00390625,-,[Others],[Others]
"[Turn: 12] Assistant: ... then you have to wonder, what are fleas thinking?!  
User: They have the luxury of instinct without having to ""think"" at all
Assistant: God, tell me more, lol
User: They just be fleas.
User: Fleas gonna flea.
Assistant: ", Galaxies gonna spiral., You have to think about why you are feeling that way.  And why you feel that way.  ,0,0.0,75.927734375,-,[Others],[Providing Suggestions]
"[Turn: 13] User: They just be fleas.
User: Fleas gonna flea.
Assistant: Galaxies gonna spiral.
User: I worry too that the U.S. government has no idea what it's doing
User: And the people at large are all losing their mental health 
Assistant: "," Yeah they have kicked the can down to local governments, local governments kick the can down to the citizens.  It's absurd. No on wants to take responsibility for taking responsibility.  "," The world is a scary place, but we are all doing our best.",0,0.0,90.283203125,-,[Reflection of feelings],[Affirmation and Reassurance]
"[Turn: 14] User: Fleas gonna flea.
Assistant: Galaxies gonna spiral.
User: I worry too that the U.S. government has no idea what it's doing
User: And the people at large are all losing their mental health 
Assistant: Yeah they have kicked the can down to local governments, local governments kick the can down to the citizens.  It's absurd. No on wants to take responsibility for taking responsibility.  
Assistant: "," It's a very uncertain situation and it's a psychological reality that when we don't have physical or metnal security, it's extremely hard for a human being to progress through stages in life or learn new skill as well or at all"," It's ok, you are doing your part.",0.037926696307668116,4.651162518117917,86.71875,-,[Providing Suggestions],[Affirmation and Reassurance]
"[Turn: 15] User: I worry too that the U.S. government has no idea what it's doing
User: And the people at large are all losing their mental health 
Assistant: Yeah they have kicked the can down to local governments, local governments kick the can down to the citizens.  It's absurd. No on wants to take responsibility for taking responsibility.  
Assistant: It's a very uncertain situation and it's a psychological reality that when we don't have physical or metnal security, it's extremely hard for a human being to progress through stages in life or learn new skill as well or at all
User: I guess it's like you said before, we can only change ourselves
Assistant: "," So everyone's plans are canceled for the year, plus no one has any idea when the shit's going to end, so not unlike a dog at the vet, the suffering seems interminable.  ", You can only change yourself.,0,0.0,84.130859375,-,[Reflection of feelings],[Others]
"[Turn: 16] User: I guess it's like you said before, we can only change ourselves
Assistant: So everyone's plans are canceled for the year, plus no one has any idea when the shit's going to end, so not unlike a dog at the vet, the suffering seems interminable.  
User: And focus on our own development
User: True
User: Well thanks for your support and kind words, ending chat now
Assistant: "," Of course, have a great evening!"," I'm glad I could be of some help.  You can do it, I believe in you.",0,0.0,83.251953125,-,[Others],[Others]
"[Turn: 1] User: Hello.

Assistant: "," how are you feeling lately?
"," Hello. How are you doing today?
",25.819888974716115,36.36363586776859,86.03515625,-,[Question],[Question]
"[Turn: 2] User: Hello.

Assistant: how are you feeling lately?

Assistant: "," how are you feeling lately?
"," Is there anything specific you are having trouble with?
",5.270462766947299,14.285713826530626,87.79296875,-,[Restatement or Paraphrasing],[Question]
"[Turn: 3] User: Hello.

Assistant: how are you feeling lately?

Assistant: how are you feeling lately?

User: Sad. I don't have any motivation.

Assistant: "," That's really hard. but,i think you can do it."," why are you feeling sad?
",3.177235575108143,14.285713826530626,83.154296875,-,[Affirmation and Reassurance],[Question]
"[Turn: 4] Assistant: how are you feeling lately?

Assistant: how are you feeling lately?

User: Sad. I don't have any motivation.

Assistant: That's really hard. but,i think you can do it.
User: Yeah. I just was supposed to be something important ya know? 

Assistant: ", It seems that you are really stressed about the situation., do you know what that important thing is?,4.6542248844948615,11.111110617283973,86.9140625,-,[Reflection of feelings],[Question]
"[Turn: 5] User: Sad. I don't have any motivation.

Assistant: That's really hard. but,i think you can do it.
User: Yeah. I just was supposed to be something important ya know? 

Assistant: It seems that you are really stressed about the situation.
User: Thank you. I am. I just tried so hard for so long to do something meaningful with my life. And now I am coming to terms with having a ""normal"" job and I can't even do that right. 

Assistant: ", i feel the same way.now i understand the reason though.it is because i didn't know what to say to strangers.," It's really hard, but you can do it.",0,7.692307266272212,88.330078125,-,[Self-disclosure],[Affirmation and Reassurance]
"[Turn: 6] Assistant: It seems that you are really stressed about the situation.
User: Thank you. I am. I just tried so hard for so long to do something meaningful with my life. And now I am coming to terms with having a ""normal"" job and I can't even do that right. 

Assistant: i feel the same way.now i understand the reason though.it is because i didn't know what to say to strangers.
User: Yeah. I mean I know a lot of people struggle the same way. I just need ways to find validation that are not based on my job.

User: But validation doesn't pay the bills.

Assistant: "," some people express themselves in person, some communicate in words.have you tried any different ways?", is there any way you can get a job?,2.705945809774626,8.69565169754256,89.6484375,-,[Providing Suggestions],[Question]
"[Turn: 7] User: Yeah. I mean I know a lot of people struggle the same way. I just need ways to find validation that are not based on my job.

User: But validation doesn't pay the bills.

Assistant: some people express themselves in person, some communicate in words.have you tried any different ways?
User: No, I will try that. Thank you for your advice.

User: I think that talking it out with some other people who are not family will be helpful as well. 

Assistant: ", no mention.," if you haven't tried it, it may be worth looking into. you don't have to get a job to get a job.",0,0.0,70.1171875,-,[Others],[Providing Suggestions]
"[Turn: 8] User: But validation doesn't pay the bills.

Assistant: some people express themselves in person, some communicate in words.have you tried any different ways?
User: No, I will try that. Thank you for your advice.

User: I think that talking it out with some other people who are not family will be helpful as well. 

Assistant: no mention.
Assistant: ", deep breaths can help people calm down., I am glad i could help.,0,15.38461488757398,85.9375,-,[Providing Suggestions],[Others]
"[Turn: 9] User: No, I will try that. Thank you for your advice.

User: I think that talking it out with some other people who are not family will be helpful as well. 

Assistant: no mention.
Assistant: deep breaths can help people calm down.
User: I hadn't thought of that.

Assistant: ", could you try to take few deep breaths?, I would say that you should try that.,5.97614304667197,26.6666661688889,84.228515625,-,[Providing Suggestions],[Providing Suggestions]
"[Turn: 10] Assistant: no mention.
Assistant: deep breaths can help people calm down.
User: I hadn't thought of that.

Assistant: could you try to take few deep breaths?
User: Yes, I think I will do that.

Assistant: ", happy to hear., i hope that i could be of some help.,0,0.0,70.8984375,-,[Reflection of feelings],[Others]
"[Turn: 11] User: I hadn't thought of that.

Assistant: could you try to take few deep breaths?
User: Yes, I think I will do that.

Assistant: happy to hear.
User: I think I will follow your advice and try to take more mindful deep breaths and try to communicate with some other people in different ways. 

Assistant: "," well, thats a good idea to do do.", i think you can do it.,4.136895450425726,15.38461488757398,83.0078125,-,[Affirmation and Reassurance],[Others]
"[Turn: 12] User: Yes, I think I will do that.

Assistant: happy to hear.
User: I think I will follow your advice and try to take more mindful deep breaths and try to communicate with some other people in different ways. 

Assistant: well, thats a good idea to do do.
User: Thank you. You have been very helpful. Enjoy the rest of your day.

Assistant: "," yes, you too.have a great day."," you are welcome, enjoy the rest of your day and be safe!",2.752409412815903,21.05263111357342,83.203125,-,[Others],[Others]
"[Turn: 1] User: I need support to feel ok during the pandemic
Assistant: "," Hello.
", I am sorry to hear that. What is it that is bothering you?,0,0.0,54.8828125,-,[Others],[Question]
"[Turn: 2] User: I need support to feel ok during the pandemic
Assistant: Hello.

User: HI there

Assistant: "," What type of things are you worried about during the pandemic?
", Are you having any problems?,2.1297646969725608,12.499999570312518,80.37109375,-,[Question],[Question]
"[Turn: 3] User: I need support to feel ok during the pandemic
Assistant: Hello.

User: HI there

Assistant: What type of things are you worried about during the pandemic?

User: That I may not find a job soon which is making me depressed

Assistant: "," So just to make sure I understand, you are anxious about possibly loosing your job due to the pandemic
", I can understand that being worried about your job security is making you feel depressed.,11.81853084405639,24.242423746556483,92.138671875,-,[Restatement or Paraphrasing],[Reflection of feelings]
"[Turn: 4] User: HI there

Assistant: What type of things are you worried about during the pandemic?

User: That I may not find a job soon which is making me depressed

Assistant: So just to make sure I understand, you are anxious about possibly loosing your job due to the pandemic

User: I am not working at the moment, I am looking for a job but it has been really difficult to find one
Assistant: "," Have you looked into a hiring agency? They are great at helping find people jobs, especially in these hard times. 
"," Just to make sure I understand, you are currently looking for a job and have been having a hard time finding one
",2.9424494316824985,14.285713785714302,91.650390625,-,[Providing Suggestions],[Restatement or Paraphrasing]
"[Turn: 5] User: That I may not find a job soon which is making me depressed

Assistant: So just to make sure I understand, you are anxious about possibly loosing your job due to the pandemic

User: I am not working at the moment, I am looking for a job but it has been really difficult to find one
Assistant: Have you looked into a hiring agency? They are great at helping find people jobs, especially in these hard times. 

User: I have but seems like there are no entry level jobs currently and also some employers have ceased hiring
Assistant: "," After interviews have you been following up to show interest again in the job?
"," I understand. Have you looked into temp jobs? 
",1.996113009202554,9.090908628099196,86.328125,-,[Providing Suggestions],[Providing Suggestions]
"[Turn: 6] User: I am not working at the moment, I am looking for a job but it has been really difficult to find one
Assistant: Have you looked into a hiring agency? They are great at helping find people jobs, especially in these hard times. 

User: I have but seems like there are no entry level jobs currently and also some employers have ceased hiring
Assistant: After interviews have you been following up to show interest again in the job?

User: Yes I have emailed every employer where I was interviewed. Also I follow up with every hiring agency I have signed up to.
Assistant: "," Have you networked with any previous co-workers? They might be able to help you find something as well,
"," That's great, and good to be proactive. Keep doing that and you will find a job.",3.602778518198154,18.749999501953145,90.185546875,-,[Providing Suggestions],[Affirmation and Reassurance]
"[Turn: 7] User: I have but seems like there are no entry level jobs currently and also some employers have ceased hiring
Assistant: After interviews have you been following up to show interest again in the job?

User: Yes I have emailed every employer where I was interviewed. Also I follow up with every hiring agency I have signed up to.
Assistant: Have you networked with any previous co-workers? They might be able to help you find something as well,

User: They all suggest to wait for a few months till things are bit normal. They also advice to keep trying.
Assistant: "," Just from chatting with you for a few I can tell this is making you very anxious/
", Sometimes it helps to have a co-worker or mentor to guide you in the right direction as well. ,2.556549962824567,11.764705384083065,90.4296875,-,[Reflection of feelings],[Providing Suggestions]
"[Turn: 8] User: Yes I have emailed every employer where I was interviewed. Also I follow up with every hiring agency I have signed up to.
Assistant: Have you networked with any previous co-workers? They might be able to help you find something as well,

User: They all suggest to wait for a few months till things are bit normal. They also advice to keep trying.
Assistant: Just from chatting with you for a few I can tell this is making you very anxious/

User: Yes it indeed is
Assistant: "," I have also been worried recently about finding another job because of the pandemic, but I found that getting back into my hobbies has helped keep me distracted and get my mind off of it. 
", I can understand that.  Have you considered talking to your family and friends about it?,0.9963035339465114,12.499999570312518,90.8203125,-,[Self-disclosure],[Providing Suggestions]
"[Turn: 9] Assistant: Just from chatting with you for a few I can tell this is making you very anxious/

User: Yes it indeed is
Assistant: I have also been worried recently about finding another job because of the pandemic, but I found that getting back into my hobbies has helped keep me distracted and get my mind off of it. 

User: It is very difficult to stay home doing nothing, it is very upsetting
User: I have started to paint which I have always enjoyed doing but again when I see others close me work and settled it makes me feel sad that I don't have a job
Assistant: "," I think painting more would be very helpful!
"," I completely understand how you feel. I am in the same situation right now. I have been very anxious and worried about finding a job. It has been very hard for me to do anything other than that, and I have been doing the same thing over and over again. I have been taking the time to do what I enjoy doing to take my mind off of it, which has helped me.
",0.6168610084980044,6.779660782533764,87.20703125,-,[Others],[Self-disclosure]
"[Turn: 10] Assistant: I have also been worried recently about finding another job because of the pandemic, but I found that getting back into my hobbies has helped keep me distracted and get my mind off of it. 

User: It is very difficult to stay home doing nothing, it is very upsetting
User: I have started to paint which I have always enjoyed doing but again when I see others close me work and settled it makes me feel sad that I don't have a job
Assistant: I think painting more would be very helpful!

User: I should try doing that, thanks
Assistant: "," No problem! If you have any other issues just chat in!
", I think it would be great to start getting back into the hobby and maybe even getting a new one.,0,0.0,87.6953125,-,[Others],[Providing Suggestions]
